Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
824_24h_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.59651566027e-07	2.57895469808e-06	2.57895469808e-06	4.29825783014e-06	4.29825783014e-06	1.37544250564e-05	4.47018814334e-05	0.000166772403809	0.000520089197446	0.000943897419498	0.00146054801068	0.00224283093577	0.00394064277867	0.00667347510707	0.00781939064458	0.0123274034568	0.0152218502796	0.0208173223229	0.0282464311565	0.0347204671003	0.0415185916844	0.0421530145401	0.0535021345148	0.0696386540607	0.0652673258475	0.0559117378544	0.0419767859691	0.0392963923862	0.0285146424451	0.0253279140899	0.041291643671	0.0421418390698	0.0293029429312	0.0150559375274	0.0110233120312	0.0264832857946	0.0413002401866	0.0482634178715	0.0365962268173	0.0446657760676	0.0493397016321	0.00832142715914	0.00491978591237	0.00141154787142	0.000477966270711	0.000287983274619	0.000197719860186	0.000311193866902	0.000101438884791	5.93159580559e-05	9.88599300931e-05	4.29825783014e-05	2.57895469808e-06	2.57895469808e-06	2.57895469808e-06	3.43860626411e-06	1.71930313205e-06	8.59651566027e-07	8.59651566027e-07	0.0	1.71930313205e-06	0.0	8.59651566027e-07	2.57895469808e-06	0.0	8.59651566027e-07	0.0	0.0	8.59651566027e-07	0.0	0.0	0.0	0.0	0.0	8.59651566027e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71930313205e-06
824_24h_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65753777736e-06	4.14384444339e-06	2.48630666604e-06	4.14384444339e-06	1.65753777736e-06	1.16027644415e-05	5.71850533188e-05	0.000182329155509	0.000713570013153	0.00136332482188	0.00196832611061	0.00287085543038	0.00484912676766	0.00780617416247	0.00889517648219	0.0137459607876	0.0170428034268	0.0236580366962	0.0324719938273	0.0388079319813	0.0435219694201	0.0446979924731	0.0570358749189	0.0727277850571	0.0679499324139	0.0582210144297	0.0446656704865	0.0421569870604	0.0295986520903	0.0261252816778	0.0411384300962	0.0389852885235	0.0234176937185	0.0134757821299	0.0115215450904	0.025409225358	0.0377122995104	0.0467326200948	0.0315868686542	0.0344635254668	0.037358415195	0.00896810814439	0.00551711449194	0.00128210547079	0.000444220124332	0.000204705915504	0.000147520862185	0.000227911444387	8.95070399773e-05	5.13836710981e-05	5.55275155415e-05	2.73493733264e-05	4.97261333207e-06	2.48630666604e-06	1.65753777736e-06	2.48630666604e-06	0.0	8.28768888679e-07	2.48630666604e-06	8.28768888679e-07	0.0	2.48630666604e-06	0.0	0.0	0.0	0.0	0.0	0.0	8.28768888679e-07	0.0	0.0	0.0	1.65753777736e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48630666604e-06
824_24h_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22841970502e-06	1.11420985251e-06	0.0	6.68525911507e-06	1.78273576402e-05	4.90252335105e-05	0.000182730415812	0.000608358579472	0.00111532406236	0.00168357108715	0.00254039846373	0.00437438788096	0.00719445301767	0.00826632289579	0.0126741370723	0.0160513071353	0.0222140018295	0.0306808824988	0.0369427418699	0.0424658801088	0.0429483329749	0.0552971207703	0.0691233508301	0.0657160971012	0.0566319441736	0.0430263276646	0.0404669876334	0.028767784182	0.0265438213164	0.0435110089504	0.0413873249716	0.0241638690714	0.0140412725614	0.0126908502201	0.026561648674	0.0412447061104	0.0488948709578	0.0347198932141	0.0374753341794	0.0422853781127	0.0093571343414	0.0054551714379	0.00133928024272	0.000471310767613	0.0002440119577	0.000128134133039	0.000218385131092	7.91088995284e-05	4.3454184248e-05	3.34262955754e-05	3.23120857228e-05	3.34262955754e-06	3.34262955754e-06	2.22841970502e-06	5.57104926256e-06	2.22841970502e-06	1.11420985251e-06	3.34262955754e-06	1.11420985251e-06	1.11420985251e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11420985251e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.45683941005e-06
824_6h_1	0.0	0.0	0.0	0.0	0.0	0.0	6.10945205546e-07	0.0	0.0	6.10945205546e-07	0.0	1.22189041109e-06	6.10945205546e-06	1.22189041109e-05	3.17691506884e-05	7.02586986378e-05	0.000155180082209	0.0003525153836	0.000910308356264	0.00145954809605	0.00245294500027	0.00387889111001	0.0064326420692	0.00924115717909	0.0133351010015	0.0143388839742	0.019388346098	0.0246253684	0.0294151788114	0.0330423604968	0.03666343273	0.0389434802371	0.0390956055933	0.0396442343879	0.0455123630872	0.0453938397173	0.0408288571415	0.0330203664694	0.0278010615784	0.0206365071529	0.0219225468106	0.0322432441679	0.031571815387	0.0269506258523	0.0189441889336	0.0173123542896	0.0396051338948	0.0604701345546	0.0533061910743	0.041264461073	0.0465870157037	0.0385243718261	0.0111827410423	0.00956251435721	0.0086796985352	0.00614733065821	0.00281279172634	0.00335653295927	0.00254641961672	0.000248654698657	3.42129315106e-05	1.16079589054e-05	3.66567123328e-06	1.83283561664e-06	2.44378082219e-06	6.10945205546e-07	4.88756164437e-06	0.0	6.10945205546e-07	0.0	0.0	6.10945205546e-07	0.0	0.0	2.44378082219e-06	0.0	0.0	6.10945205546e-07	0.0	1.22189041109e-06	0.0	0.0	0.0	0.0	0.0	6.10945205546e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88756164437e-06
824_6h_2	0.0	0.0	0.0	5.36468023287e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60940406986e-06	2.68234011644e-06	5.36468023287e-06	1.23387645356e-05	4.18445058164e-05	0.000103538328494	0.000195274360476	0.000496769389564	0.000922725000054	0.00153537148265	0.00251388915712	0.00410237097408	0.00624341485501	0.00863498930283	0.00896277126506	0.012395093678	0.0174443307132	0.0224544055827	0.0242306512078	0.028173691179	0.0311795215134	0.033612403999	0.0375135994644	0.0487322187674	0.0506495554826	0.0503389404971	0.0450751162526	0.0450670692323	0.0343436099148	0.0322267070949	0.0382517794644	0.0431534877932	0.027345384551	0.0165543302626	0.0138537502334	0.0414646864559	0.068465658536	0.0542733969799	0.0414153313978	0.0399266326331	0.0274854027051	0.00807384375047	0.00852554982608	0.00985706345988	0.00754274040742	0.00361150273277	0.00172420822684	0.00111692642448	9.49548401218e-05	1.01928924425e-05	1.1265828489e-05	6.97408430273e-06	2.68234011644e-06	0.0	1.07293604657e-06	4.82821220958e-06	1.60940406986e-06	1.60940406986e-06	5.36468023287e-07	0.0	1.07293604657e-06	5.36468023287e-07	0.0	1.07293604657e-06	0.0	0.0	0.0	0.0	1.60940406986e-06	0.0	0.0	0.0	1.60940406986e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2917441863e-06
824_6h_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26770379344e-07	0.0	2.26770379344e-07	4.53540758688e-07	4.53540758688e-07	3.85509644884e-06	6.80311138031e-06	3.12943123494e-05	9.25223147723e-05	0.000156244791368	0.000381654548436	0.000772153141665	0.00128215972481	0.00199172424178	0.00337207554084	0.00521707934718	0.00746618796951	0.00787119986702	0.0114924960548	0.0171445209895	0.0232024649033	0.0255230061951	0.0299488836888	0.0342332564657	0.0377529595235	0.0417212143917	0.054803597576	0.0562308903436	0.0567823959062	0.0524977963588	0.0528581344916	0.0384076456087	0.0354278828241	0.0369916913601	0.039631525346	0.0241875554312	0.0145629669911	0.0119632713623	0.0326547078551	0.0542761296737	0.0453955748482	0.0358310805586	0.0339726972999	0.0244295194259	0.00911208738279	0.00987811772421	0.0123778076157	0.00988219959104	0.00461840554571	0.00203639800651	0.00137740328413	0.000102500211463	7.71019289769e-06	9.52435593244e-06	6.57634100097e-06	1.81416303475e-06	1.13385189672e-06	1.13385189672e-06	3.85509644884e-06	1.58739265541e-06	4.53540758688e-07	1.13385189672e-06	4.53540758688e-07	1.36062227606e-06	6.80311138031e-07	2.26770379344e-07	1.36062227606e-06	0.0	0.0	4.53540758688e-07	0.0	9.07081517375e-07	0.0	0.0	0.0	4.53540758688e-07	0.0	0.0	0.0	2.26770379344e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85509644884e-06
F_3_24h_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.49982060495e-07	0.0	1.29996412099e-06	1.94994618149e-06	3.89989236297e-06	1.55995694519e-05	2.33993541778e-05	6.62981701705e-05	0.00015729565864	0.000388039290116	0.000933374238871	0.00160870559973	0.0026259275244	0.00403703857774	0.00621642842658	0.00983812846765	0.011722426461	0.0181669985908	0.0248423143521	0.0309599455055	0.0358484605825	0.0404711329967	0.04598623078	0.0482351687093	0.0524659019411	0.065433044048	0.0634206995887	0.0570697248756	0.045781486431	0.0426264735093	0.0305147077941	0.0249287619662	0.0274064935808	0.0334890257029	0.0369209309823	0.0166772397082	0.00935519179671	0.0237080956566	0.0378900542345	0.038335941928	0.0349859343882	0.0312940362846	0.0211166171814	0.0066421666762	0.00544489972077	0.00484301633275	0.00338510657106	0.00165745425426	0.000911274848814	0.000965223359835	0.000277542339831	9.61973449533e-05	0.000122846609434	6.75981342915e-05	1.94994618149e-06	6.49982060495e-07	1.94994618149e-06	4.54987442347e-06	6.49982060495e-07	0.0	1.94994618149e-06	0.0	0.0	0.0	0.0	1.29996412099e-06	0.0	0.0	0.0	0.0	6.49982060495e-07	0.0	0.0	0.0	0.0	0.0	6.49982060495e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29996412099e-06
F_3_24h_2	0.0	0.0	0.0	0.0	0.0	7.26683981124e-07	0.0	0.0	0.0	0.0	0.0	0.0	1.45336796225e-06	5.08678786787e-06	1.38069956413e-05	2.54339393393e-05	9.30155495838e-05	0.000165683947696	0.000493418423183	0.000933062231763	0.00146862832585	0.00255429419365	0.00429542901242	0.00668403925838	0.010701148306	0.0123812416704	0.018980258903	0.0261119354937	0.0324675135926	0.0359265293428	0.0400134000526	0.0455928796597	0.0472642528163	0.0511345716997	0.0637534390319	0.0627280879346	0.05712898786	0.0470353473622	0.0448240480077	0.0319966223729	0.0253525507334	0.025638137538	0.0315584319322	0.0378544219447	0.0163540229952	0.0090508489849	0.0219574831736	0.0361372676973	0.0378471551049	0.035763025447	0.0315082907375	0.0205353626226	0.00716147063397	0.00567031510471	0.00506571403241	0.00369518804401	0.00177819570181	0.000885101089009	0.000896728032707	0.000273233176902	8.42953418103e-05	8.28419738481e-05	6.03147704333e-05	5.08678786787e-06	1.45336796225e-06	0.0	2.90673592449e-06	0.0	1.45336796225e-06	0.0	7.26683981124e-07	0.0	7.26683981124e-07	7.26683981124e-07	0.0	0.0	7.26683981124e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45336796225e-06
F_3_24h_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18687529561e-06	5.93437647803e-07	5.93437647803e-07	0.0	1.18687529561e-06	3.56062588682e-06	4.74750118242e-06	1.60228164907e-05	3.6199696516e-05	8.36747083402e-05	0.000204142550844	0.000521631692419	0.00109548589784	0.00213993615798	0.00342116803958	0.00489170653084	0.00726901774794	0.0113109215671	0.0127725584937	0.0197163724106	0.0261836558964	0.0321370223791	0.0365213397211	0.0407175373287	0.045217575012	0.0467783160257	0.051551335027	0.0641707866075	0.0626753237351	0.0558353614065	0.0461955602556	0.0444573813852	0.0318960866941	0.0252436506622	0.0263480381248	0.0319655188989	0.0373189199197	0.0161379433944	0.0086701240344	0.0225150243576	0.0374536302658	0.0379491507017	0.0355783672987	0.0304730232147	0.0188618221978	0.00654205662938	0.00502107593806	0.00465848553525	0.00327577581587	0.00173105761864	0.000950093674133	0.000780963944509	0.000321049767461	0.000190493484945	0.000125808781334	3.85734471072e-05	4.74750118242e-06	5.93437647803e-07	1.78031294341e-06	4.74750118242e-06	1.78031294341e-06	1.18687529561e-06	0.0	0.0	5.93437647803e-07	1.18687529561e-06	0.0	5.93437647803e-07	0.0	0.0	5.93437647803e-07	0.0	5.93437647803e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96718823902e-06
F_3_6h_1	0.0	0.0	2.58938894305e-07	0.0	0.0	0.0	0.0	0.0	5.1787778861e-07	0.0	2.58938894305e-07	7.76816682915e-07	1.55363336583e-06	5.69665567471e-06	1.03575557722e-05	2.51170727476e-05	0.000100209352096	0.000175301631445	0.000448482164936	0.000920786708149	0.00157512529406	0.00246846447941	0.00373389885588	0.00566584194629	0.0079613352443	0.00852400946163	0.0121773783214	0.0172562057943	0.0228782870674	0.0250691690521	0.0293950022204	0.0329100977106	0.0356424209233	0.0405332587589	0.0534009681725	0.0553525906189	0.054294048419	0.0485228183427	0.0497281788957	0.0358107312046	0.0319944897803	0.0344862587602	0.0375409608963	0.0278276450932	0.0167310777166	0.0122229515668	0.0357056020135	0.060046375956	0.0494884014796	0.0410959329763	0.0401572794844	0.0270101750039	0.00790048460414	0.00842121072059	0.00982983830561	0.00757888249741	0.00375306033406	0.00196534620778	0.00146093324167	0.000138532308453	1.65720892355e-05	1.24290669266e-05	5.95559456902e-06	2.33045004875e-06	1.55363336583e-06	7.76816682915e-07	2.58938894305e-06	5.1787778861e-07	1.03575557722e-06	1.29469447153e-06	2.58938894305e-07	1.03575557722e-06	2.58938894305e-07	0.0	1.81257226014e-06	0.0	2.58938894305e-07	2.58938894305e-07	0.0	1.03575557722e-06	0.0	2.58938894305e-07	0.0	7.76816682915e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.40196120319e-06
