Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
824_24h_1	147.02270632	291.489771258	392.065356934	466.974350403	546.444793777	531.95005002	536.676680181	635.850703639	902.391781466	1217.07068898	1302.97468523	1349.94052102	1376.13766323	1260.70919103	1067.67946257	1034.94026461	1003.53941751	958.768237769	861.740780969	1134.94451951	1203.0902466	1226.67515052	1243.68990232	3480.28319919	5843.24426416	6199.01262364	6362.60192713	6479.47669164	3980.53174378	1637.68888797	1269.88619317	1134.67777616	988.753874563	910.964544203	893.780256976	890.751390737	908.208818374	938.398645549	1056.11437378	1194.19370821	1250.85662693	1239.70872623	1289.3569761	1277.994349	1439.78784966	1547.60786858	1591.27996874	1639.54265719	1702.32592469	1758.12093866	1961.41408075	1927.92903606	1817.69375566	1664.38478535	1396.64063118	1079.52892098	1045.00051835	1042.33080478	1039.75111033	1035.83931353	1042.19053985	1049.40228382	1062.28543072	1056.78178757	1051.74004838	1064.96586061	1089.55695903	1176.59230942	1481.93281324	1775.62756618	1835.12959088	1845.09919056	1905.21241026	1692.44597801	1451.83354811	1376.69388661	1331.89150496	1215.22780528	1157.10307303	1117.19761085	1064.89693606	1011.20137447	946.310925384	933.786045867	878.80971479	739.438993041	642.006755978	520.931558437	356.50804831	278.600665936	475.996515864	1148.37083337	2029.52548938	1986.21402008	1901.30871186	1623.69144383	902.050136095	16.3662762138	5.71563622023	1.17185498667
824_24h_2	96.5217608554	196.747455963	272.274434339	323.706698652	371.520205504	348.255334276	348.76913023	429.168607741	783.699502988	1198.931189	1279.58791737	1318.96213528	1340.16205874	1093.72851514	808.185831744	774.714418387	732.768664872	688.340013172	599.189757048	924.046841318	988.474665938	1002.77648573	1009.01677649	2479.9605051	3956.61137699	4239.73752343	4375.69864741	4453.61989852	2837.67362086	1257.2580385	948.883392891	837.144849161	739.396755348	644.622925752	612.64623063	610.956968064	621.868816525	640.628189069	731.294489395	808.364690356	834.046011794	820.646727247	865.251666568	880.065469165	1305.23802599	1465.46901093	1549.62568711	1613.7177439	1651.62532705	1449.16973762	1651.8644505	1586.03876431	1455.20925261	1298.09998224	1033.95004122	683.76773217	650.638270812	651.759987719	654.806248097	651.05569954	652.506947783	658.379839156	663.44357416	657.785376578	660.634642883	673.663341318	697.037320331	767.226544986	975.537385414	1162.68309601	1195.70878994	1201.8227954	1255.03775844	1144.70458549	1006.94400217	994.971100133	1029.9523467	961.733833298	916.318531419	893.406284094	866.484786831	826.104727979	761.87157144	753.868237997	712.530393448	552.553099248	461.463638634	367.72688183	244.236025224	205.421789858	390.681836418	855.756979171	1422.18252887	1386.15459542	1309.46118373	1072.37479204	585.308752257	9.60708398073	3.48135722273	0.599670403274
824_24h_3	83.3447615729	168.307690801	226.676374024	270.945932967	311.455485115	290.144236366	292.157636836	371.457385446	716.588562664	1103.24845674	1176.68776633	1211.17409937	1227.83749033	969.212067334	687.059128415	654.535358938	612.442059055	573.689616627	501.967022657	678.026049231	717.3618596	731.59578915	742.451395382	2029.39020709	3467.38400469	3757.37421059	3886.43086895	3950.77951227	2525.27052909	1104.7961649	807.12636418	697.975727292	614.559437863	541.394871471	513.52105051	510.120669054	519.514143287	537.655289699	611.137281215	697.967196752	728.610773895	722.919966728	762.117589678	772.102057706	1049.36096461	1177.59203966	1246.31166435	1293.45445357	1327.00776305	1214.99014429	1373.06861577	1322.44334387	1220.05508213	1096.68183609	893.475599709	614.069979934	583.512585713	581.91788086	580.938557908	577.119497614	578.068373827	579.102824538	580.992198545	578.005420144	580.647411513	591.473677761	610.997415583	670.940516551	852.005501258	1016.31473145	1046.11304147	1052.14938975	1070.19606817	938.322027556	807.646485712	780.304191736	761.401207031	705.386716222	676.920581908	657.089908392	632.726488071	604.650633451	567.513822541	572.512748223	553.598450939	458.093602094	396.720529491	322.058419909	213.031006589	157.162363902	260.968117482	661.690489939	1162.37015636	1139.23664556	1089.7302817	937.039109131	512.782596602	8.33942301901	2.83837416179	0.540716661695
824_6h_1	71.3458863162	167.319655148	237.582570981	328.22525076	400.617559269	426.784109501	456.765910018	511.373429663	639.579739213	805.562643382	857.380185119	898.470314699	923.949759675	926.84235432	914.36522928	920.253665951	914.091633519	886.398193287	774.441631572	776.036090396	792.921430166	824.45952884	865.056899326	2597.66981455	4908.84282752	5144.40859935	5220.14749764	5360.50404827	3492.82432723	1435.20516343	1323.20363568	1293.17160803	1145.62131516	1055.58679201	1017.93575381	976.52258111	1004.97448404	1073.58483077	1229.50147253	1444.56312922	1576.90904751	1588.13448304	1677.4440434	1774.94830603	1775.0495203	1815.47197576	1852.46184193	1799.90516853	1842.98679251	2326.39781581	2432.35320435	2416.83458845	2377.51839269	2193.2055829	1681.16731633	1554.59710223	1538.96255181	1523.75950795	1503.78443697	1493.24837685	1489.14957486	1489.14405378	1488.53393127	1492.51607768	1496.09315215	1513.59395516	1531.94309397	1545.71392419	1781.03956896	1982.77509065	2075.67831664	2106.29001842	2084.78685137	1807.03351599	1576.33038741	1391.26671003	1364.61240039	1223.73057992	1196.38369879	1169.31060636	1083.97059082	1010.64197017	921.430878569	827.291055984	746.41493415	562.871868949	456.233872763	343.253533817	222.460917765	187.805647467	190.316459986	439.411541536	728.55950198	708.913636247	679.977968801	628.808875585	316.093041166	12.4893797576	4.90418129888	0.814827648801
824_6h_2	118.263138019	242.087831812	322.388498209	400.628983674	487.808926631	489.61215144	535.231535524	639.927514661	809.659774552	944.430503411	1013.10200331	1067.12648797	1098.00189928	1102.83906096	1103.33543333	1121.72142409	1130.19885296	1133.84820629	1113.65528003	1148.91124844	1171.62489418	1213.88456506	1266.97807711	2774.49144581	4471.68231352	4631.0137469	4676.87013481	4723.62075482	3049.82243359	1549.79080013	1471.86952566	1473.86811738	1435.89515504	1409.30774865	1405.42847585	1396.45633021	1444.73072028	1573.20410886	1797.57090313	2174.64605569	2409.68252578	2427.88497179	2477.88255606	2531.23273969	2554.02778312	2607.84337545	2652.92400947	2652.6563111	2675.52802606	2942.23330932	3007.36419736	2993.37518185	2947.75220836	2796.58608942	2483.77775284	2390.74910641	2374.34553379	2356.92453647	2346.85888326	2334.1094943	2321.90221885	2298.75097144	2280.54270839	2278.3043698	2255.2694414	2258.84989314	2277.95003114	2285.16468978	2457.66093624	2626.48455403	2713.64415864	2719.42862141	2668.39051842	2441.28129634	2164.30829615	1855.43772018	1650.38879294	1393.25097878	1362.02232599	1309.40681723	1176.74543159	1037.09017919	886.143902284	736.564735827	663.005995809	571.803958149	496.66070444	386.893302895	240.290012177	187.15411218	211.967483433	663.007694359	1263.1703819	1249.25768106	1222.90668047	1144.45279423	607.487993348	10.5057247692	3.95531906503	0.605672436512
824_6h_3	216.258009078	459.564088371	637.841210888	811.416264361	1002.41499264	1054.47138157	1226.8389243	1510.9120134	1970.44620336	2291.54515358	2455.35831511	2590.81682503	2674.57121894	2700.27717495	2704.93043188	2740.94637992	2761.94894732	2781.51734046	2754.14485365	2824.39132022	2871.92287695	2961.54276239	3063.65388688	5855.8096205	8797.59284747	9063.15355258	9151.1779525	9231.06524557	6130.74381279	3563.261382	3467.52768813	3494.33544422	3453.41955446	3409.54207868	3405.12252068	3387.93281939	3490.10516044	3738.868511	4197.81321969	4873.1113971	5261.6225954	5301.80625504	5384.81693567	5407.43582022	5409.54881695	5503.49672673	5570.03068492	5565.15254724	5583.36842246	5936.79401825	6043.85974106	6027.26914998	5932.85818165	5688.75930646	5244.18859872	5075.56403971	5031.31822423	4991.73360114	4964.09692338	4925.69732822	4888.42168601	4813.26889316	4759.99823226	4737.0226185	4666.13755168	4661.16880404	4686.69068129	4694.47597356	5005.51848483	5343.13358723	5489.9361032	5475.97052633	5366.84096364	4962.09590376	4408.7607388	3857.99725877	3491.23086165	3075.31677734	2987.66581961	2838.97402596	2560.35029523	2210.75352076	1851.1141002	1521.42400606	1380.4127725	1221.47785287	1073.42437748	850.235718995	552.067542715	434.830419077	476.403146099	1210.66176676	2267.10437193	2232.66563094	2171.64064345	2008.99849773	1100.74409537	20.4529820691	7.70160821995	1.1727534291
F_3_24h_1	97.8205933491	242.103264429	380.007849305	506.565173622	636.509259157	744.770948523	830.561617413	977.049143416	1212.99094354	1473.99879176	1610.92063093	1667.66772005	1710.86157398	1719.61177737	1655.95551207	1660.84645372	1663.59801545	1649.78840239	1553.54919113	1607.1074564	1652.41486951	1693.35467477	1721.62362054	2696.29858137	4057.2172874	4374.6149279	4548.62331206	4746.04160902	3734.88508749	2468.1397612	2209.35451766	2077.32172481	1881.19828038	1770.29578003	1759.08390355	1755.89784725	1786.47496008	1852.33040569	1984.4389928	2164.18623008	2272.39580434	2273.2570413	2333.64110397	2388.15380081	2444.49104458	2524.12175801	2560.97329934	2585.74764776	2623.90056414	2718.36024423	2806.14749825	2819.80235263	2783.4945978	2647.51235518	2465.03176366	2299.86954253	2268.42767739	2258.01473328	2255.23426486	2244.68468905	2233.37775973	2212.60223157	2204.42197263	2201.63550766	2194.13092455	2219.81723266	2264.61044713	2346.88134398	2536.39869097	2665.82510296	2737.4180349	2712.91333432	2726.37462358	2580.30354223	2423.7592334	2254.90850677	2078.65170587	1896.45658039	1817.11244656	1713.62833738	1526.73585776	1392.91183528	1228.4285169	1132.77971222	1056.67431832	946.282913826	834.061825984	699.882971316	500.736757578	377.414871739	484.497696565	920.685180847	1399.2760712	1370.85354707	1276.06010851	1062.11523348	543.97220561	24.4489745658	7.4840551263	1.34594611815
F_3_24h_2	49.4468700049	132.772910477	223.886098666	311.816404005	397.00865314	477.462187904	539.688109183	627.161164837	768.833064682	945.085591205	1043.43474368	1084.58717634	1116.30007232	1115.26013258	1069.51892332	1072.46699911	1073.60195918	1066.7348782	1007.80090258	1038.53417447	1070.96520903	1101.29782323	1125.18968769	1913.06046981	3055.0896925	3327.42115905	3484.77392861	3679.18542341	2861.35484106	1813.59642103	1589.36593818	1464.09635254	1257.9166319	1158.58850601	1144.21324593	1145.51263542	1170.207559	1221.00076637	1314.2242162	1431.50656529	1508.27486508	1512.84445954	1559.74433783	1612.01803505	1658.22680946	1722.47622287	1755.09681761	1768.31791174	1789.04862232	1846.15836267	1896.62574108	1907.83197735	1887.53569495	1799.60801885	1681.24989742	1578.80690187	1558.77789794	1550.43521384	1548.16723439	1539.59674139	1530.49257321	1515.95015922	1508.50911026	1505.75479986	1507.7358565	1537.70940049	1573.54660307	1640.66381026	1792.75894072	1898.33038016	1946.68926717	1924.35080159	1922.43471541	1787.28179395	1662.14920632	1533.60154551	1403.85704134	1277.17952099	1222.68056778	1150.73082409	1012.64359631	927.538904865	821.320605817	758.025780623	706.566471895	633.927287349	561.611539538	471.313107415	340.979997497	255.315878935	296.216450542	478.907236976	670.024620581	649.336632836	585.102695741	478.68379403	241.981880825	15.1314420082	4.68719169637	0.849274994699
F_3_24h_3	65.1513268998	172.816593441	291.370742826	407.959972352	526.506172908	630.756691822	724.706138371	850.710114067	1038.71330511	1247.99964216	1363.85334964	1414.08374399	1452.04366598	1459.87621134	1426.72225142	1446.42138634	1463.45412953	1465.1431587	1400.66634174	1447.74389965	1484.5836187	1518.94009653	1541.41942539	2437.89607623	3758.94992771	4070.03303165	4231.42783176	4448.52668378	3506.85698148	2293.69850078	2040.95894725	1912.46993862	1685.46037302	1579.83688936	1574.20454638	1575.73645478	1611.20091372	1683.02514656	1813.33122938	1983.01539679	2095.7180853	2103.64762986	2166.20547103	2230.19121369	2286.33933726	2359.81549784	2394.85068691	2412.80835857	2438.24188088	2494.29426262	2541.81701748	2555.3836743	2526.03880117	2410.74473154	2269.06552765	2145.81435849	2115.22005387	2101.25225615	2096.01885828	2086.78517713	2075.49416581	2057.27168404	2054.00108563	2054.70281575	2051.24753774	2079.60932453	2114.69113115	2179.86864655	2345.42654287	2465.13493872	2506.70427691	2466.84788818	2460.16192537	2301.49255543	2149.75681661	2002.48458507	1840.77325675	1676.54300165	1608.84403916	1514.56088388	1336.37478765	1223.23096137	1086.23886747	1001.88342501	938.427939917	852.355847651	756.099173247	622.31101245	435.092651023	332.832409522	389.147754389	620.868890261	867.76162468	837.528969683	745.584685417	606.611456368	308.27296203	18.0953176046	5.8671731763	1.16478801964
F_3_6h_1	143.215887648	332.575985204	495.055427277	665.050519413	852.449774996	964.290714399	1105.6305843	1322.68504805	1685.02928709	1990.23431793	2113.90830488	2190.58297795	2237.54323087	2247.59138254	2245.54233911	2274.17096164	2295.61663433	2278.88027073	2155.91329244	2211.25237152	2252.37814821	2345.90504743	2482.1241446	5330.7692513	8545.49778927	8881.28864064	9005.29330956	9203.87624937	6144.28512033	3299.73742349	3118.95165024	3084.49707425	2882.43019234	2775.33568335	2773.96563087	2765.63157905	2852.83057156	3039.50025932	3381.45358515	3971.71377898	4351.51998655	4389.35456023	4491.93607085	4644.24392674	4699.78540731	4800.79631148	4880.39004927	4869.06698841	4921.19856532	5413.26860149	5528.80398328	5501.14079529	5415.65151313	5110.74021287	4514.56343241	4334.33237545	4300.23326935	4256.69027635	4222.39590208	4186.22220762	4149.62336474	4092.4436188	4052.23808839	4034.3484056	3990.94003674	4020.15114193	4059.68310034	4072.06438145	4374.29464173	4632.38359806	4942.1349987	5005.7720717	4922.3328999	4504.33480108	4026.78777408	3306.98464526	2918.36490421	2515.54118246	2467.62240244	2379.25071218	2133.96040353	1889.63640757	1635.18985008	1381.0878622	1257.33956541	1103.56267843	958.222817816	743.819801161	465.486675159	354.205904435	408.439694403	976.231764881	1609.53111956	1575.54633989	1523.25493089	1365.46830456	676.841884544	19.8367371332	6.97688757941	1.11369379742
