Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
F_3_24h_1	251299.0	275341.0	296770.0	318603.0	335656.0	356748.0	376692.0	400794.0	421776.0	442024.0	466498.0	485851.0	501939.0	516548.0	527582.0	540052.0	553043.0	567766.0	578180.0	590460.0	598287.0	611872.0	621779.0	629003.0	674692.0	686836.0	699799.0	714037.0	720265.0	696832.0	687963.0	688465.0	686707.0	689294.0	692645.0	694796.0	698688.0	701407.0	699876.0	702603.0	704827.0	704262.0	701015.0	701378.0	699299.0	692385.0	697598.0	699131.0	695592.0	695274.0	697546.0	697525.0	693782.0	690405.0	683840.0	674858.0	666855.0	663422.0	663466.0	666718.0	666394.0	673061.0	676550.0	676510.0	673936.0	675810.0	673373.0	675737.0	680557.0	684433.0	683375.0	683684.0	683112.0	678601.0	678268.0	673779.0	672365.0	675318.0	668978.0	667625.0	664434.0	655276.0	642720.0	629908.0	615775.0	601869.0	589205.0	578715.0	564853.0	551285.0	535158.0	520564.0	505606.0	497307.0	487848.0	474730.0	452254.0	428273.0	409978.0	380420.0
F_3_24h_2	236608.0	258362.0	277031.0	297085.0	311743.0	328427.0	346360.0	373422.0	393411.0	412999.0	434689.0	452200.0	465712.0	481789.0	491850.0	504997.0	516688.0	529452.0	539193.0	553344.0	561350.0	574419.0	585783.0	593448.0	646559.0	649390.0	662712.0	675991.0	678488.0	639866.0	638375.0	641099.0	639057.0	638588.0	640065.0	641207.0	645757.0	647489.0	649244.0	652844.0	654551.0	653401.0	651805.0	651995.0	651564.0	649739.0	658582.0	661649.0	657395.0	658455.0	659011.0	659124.0	656795.0	653288.0	648670.0	638671.0	629178.0	627531.0	628532.0	629593.0	629385.0	635240.0	638801.0	640277.0	637105.0	639787.0	638614.0	640601.0	645690.0	648815.0	648397.0	647859.0	645506.0	640321.0	638354.0	634788.0	632359.0	634303.0	629770.0	631932.0	629643.0	622425.0	612188.0	600775.0	588072.0	574630.0	561730.0	552473.0	540993.0	526766.0	512059.0	499440.0	485488.0	477030.0	466868.0	454387.0	435033.0	412727.0	397288.0	373122.0
F_3_24h_3	269971.0	295258.0	319622.0	343233.0	362361.0	387052.0	410916.0	437523.0	462337.0	485326.0	510577.0	529940.0	547119.0	563488.0	576166.0	591817.0	604554.0	619951.0	629009.0	641698.0	650569.0	665231.0	676168.0	685355.0	743708.0	750309.0	765721.0	779830.0	786577.0	745132.0	746893.0	750879.0	747749.0	751867.0	754884.0	754080.0	760253.0	760557.0	756461.0	755701.0	757342.0	756777.0	755172.0	755700.0	754716.0	749964.0	757338.0	761347.0	758758.0	758275.0	760124.0	758354.0	753815.0	751108.0	747012.0	732399.0	722857.0	719177.0	716935.0	715108.0	714359.0	721262.0	723358.0	725077.0	722073.0	726229.0	725788.0	726958.0	732297.0	737463.0	737426.0	738235.0	738759.0	733715.0	734701.0	731988.0	729270.0	732870.0	726590.0	725855.0	722101.0	712249.0	698526.0	684614.0	671656.0	657438.0	642977.0	631968.0	618247.0	603894.0	586459.0	570523.0	555651.0	545413.0	533696.0	519768.0	494822.0	467115.0	448772.0	422140.0
F_3_6h_1	346820.0	366421.0	392860.0	417389.0	438929.0	464889.0	493540.0	537083.0	587801.0	632400.0	663422.0	693867.0	727335.0	747947.0	768291.0	794276.0	795722.0	816583.0	826188.0	832702.0	842345.0	859973.0	871990.0	878508.0	944997.0	953572.0	974158.0	991500.0	1000638.0	956962.0	974224.0	981786.0	977816.0	987321.0	992671.0	990698.0	995066.0	995133.0	991898.0	994961.0	1010282.0	1009203.0	1015589.0	1027939.0	1031285.0	1036618.0	1048934.0	1064021.0	1071723.0	1079944.0	1090859.0	1085949.0	1074473.0	1062259.0	1064172.0	1038060.0	1033037.0	1013319.0	1005146.0	987934.0	978709.0	974370.0	978028.0	977249.0	970703.0	980119.0	977378.0	969119.0	964323.0	969275.0	965638.0	964027.0	967875.0	959306.0	956369.0	946045.0	949389.0	936415.0	927349.0	918371.0	919524.0	912515.0	896173.0	875470.0	860654.0	849305.0	832095.0	820186.0	802213.0	785441.0	763280.0	739646.0	714976.0	710087.0	708655.0	688761.0	661533.0	637475.0	610747.0	551000.0
F_3_6h_2	218125.0	236219.0	253092.0	269642.0	281481.0	299512.0	316773.0	341412.0	369684.0	398436.0	423179.0	447990.0	472173.0	488098.0	502581.0	521951.0	532713.0	548218.0	558247.0	566624.0	570018.0	586482.0	594826.0	600283.0	639925.0	655486.0	672218.0	683766.0	690341.0	683484.0	676331.0	670847.0	667357.0	671515.0	677272.0	680895.0	686149.0	688399.0	685719.0	691949.0	699190.0	699678.0	701033.0	711115.0	713417.0	713382.0	719892.0	727173.0	727017.0	731354.0	750803.0	750838.0	748229.0	741774.0	737869.0	721446.0	713356.0	701467.0	700030.0	684417.0	681210.0	679410.0	683723.0	684978.0	684950.0	689348.0	688175.0	683747.0	681101.0	683727.0	677880.0	673496.0	676129.0	668305.0	664927.0	660113.0	662706.0	654532.0	651659.0	647900.0	644058.0	635788.0	624952.0	611172.0	601305.0	591812.0	579373.0	566698.0	550731.0	537893.0	524230.0	504944.0	487696.0	481673.0	471584.0	453855.0	432154.0	408723.0	388316.0	352754.0
F_3_6h_3	202697.0	211433.0	224755.0	242615.0	253837.0	268144.0	282893.0	304324.0	329477.0	352863.0	371875.0	391788.0	412739.0	425254.0	437217.0	453178.0	458536.0	469375.0	478113.0	483351.0	487846.0	503155.0	509623.0	512757.0	553665.0	572210.0	584765.0	591654.0	599366.0	592833.0	584732.0	576013.0	578594.0	583682.0	589209.0	591313.0	596780.0	598809.0	598524.0	602529.0	604713.0	609375.0	610640.0	614386.0	616665.0	612645.0	617287.0	623327.0	627345.0	629810.0	650401.0	651028.0	648754.0	646463.0	643729.0	631229.0	616066.0	602839.0	600480.0	583788.0	582428.0	584312.0	590057.0	590981.0	588982.0	590962.0	586343.0	583429.0	582329.0	584089.0	579077.0	574914.0	573408.0	569200.0	567797.0	561667.0	562124.0	555421.0	551998.0	547641.0	544365.0	538885.0	528817.0	516478.0	506042.0	499699.0	488113.0	481017.0	469287.0	460072.0	452036.0	436767.0	422726.0	418751.0	412729.0	400873.0	384816.0	365565.0	349721.0	314385.0
V824_24h_1	125807.0	134874.0	143398.0	155156.0	167509.0	181785.0	192476.0	204423.0	218437.0	229067.0	238136.0	246510.0	253446.0	258050.0	258911.0	263808.0	268132.0	274443.0	278777.0	284405.0	289702.0	297207.0	302189.0	308603.0	357901.0	360080.0	361747.0	366263.0	367645.0	320841.0	322403.0	321266.0	315846.0	314026.0	312325.0	311720.0	316829.0	319554.0	319400.0	322745.0	323721.0	323443.0	321715.0	321822.0	320552.0	320995.0	330743.0	335478.0	341773.0	347718.0	349267.0	352575.0	352144.0	349230.0	348160.0	342950.0	330281.0	326231.0	323573.0	321437.0	322353.0	322791.0	322371.0	323178.0	323637.0	325313.0	328273.0	335480.0	338707.0	340585.0	338879.0	336979.0	334474.0	332686.0	334524.0	332461.0	333863.0	334819.0	334180.0	331933.0	328866.0	323328.0	318480.0	315961.0	310419.0	304522.0	298052.0	292579.0	288500.0	283497.0	275095.0	266018.0	256966.0	260708.0	262548.0	257892.0	246605.0	234702.0	225922.0	198328.0
V824_24h_2	154405.0	165496.0	173624.0	185807.0	198662.0	215255.0	225518.0	237508.0	256472.0	270059.0	280667.0	289012.0	295657.0	301477.0	299476.0	305240.0	310204.0	317852.0	324948.0	337484.0	346929.0	357990.0	365090.0	374295.0	412945.0	412860.0	413603.0	420032.0	420810.0	383956.0	381972.0	379193.0	374122.0	372471.0	368657.0	367949.0	371756.0	374792.0	374618.0	378769.0	378732.0	377778.0	376844.0	377252.0	379513.0	385959.0	402767.0	412626.0	420633.0	426328.0	425320.0	430743.0	429803.0	426195.0	425247.0	419720.0	400127.0	391690.0	386271.0	381881.0	382650.0	382733.0	383180.0	383313.0	383510.0	383631.0	385155.0	392662.0	395725.0	396895.0	393219.0	391750.0	386034.0	381601.0	383239.0	381236.0	382954.0	383280.0	381747.0	378987.0	375083.0	369574.0	364439.0	360723.0	356203.0	351781.0	343588.0	337549.0	332956.0	324337.0	314038.0	303810.0	293108.0	294257.0	291348.0	284410.0	270521.0	258330.0	245869.0	221818.0
V824_24h_3	121932.0	129609.0	135817.0	145683.0	155798.0	168311.0	178441.0	188703.0	203415.0	213170.0	221338.0	228465.0	233800.0	234934.0	232863.0	236792.0	240066.0	244986.0	249608.0	257724.0	264157.0	271330.0	275399.0	281580.0	328543.0	329501.0	330767.0	334829.0	335552.0	290806.0	291502.0	289183.0	284758.0	283057.0	281486.0	280955.0	284796.0	286855.0	286349.0	288674.0	289022.0	289827.0	287965.0	288149.0	287971.0	292203.0	304329.0	311782.0	317916.0	322726.0	320759.0	324299.0	322313.0	319414.0	320415.0	315543.0	302047.0	296275.0	293733.0	290875.0	291285.0	290041.0	288547.0	289188.0	290254.0	291762.0	294411.0	299063.0	300684.0	302599.0	301180.0	299324.0	294437.0	292011.0	293942.0	294327.0	295124.0	295329.0	293013.0	290608.0	287853.0	283511.0	279440.0	277720.0	271837.0	268600.0	261754.0	256232.0	251524.0	245591.0	238409.0	230789.0	222698.0	225688.0	224977.0	220065.0	209257.0	198286.0	188036.0	166381.0
V824_6h_1	269927.0	277402.0	287034.0	304251.0	321952.0	337585.0	363985.0	403651.0	459327.0	497130.0	511821.0	527137.0	542230.0	550035.0	558693.0	572019.0	550161.0	554592.0	546713.0	528268.0	532825.0	547304.0	556118.0	568128.0	622325.0	636088.0	647139.0	653824.0	656237.0	609220.0	627188.0	637033.0	638838.0	640522.0	640759.0	633020.0	629420.0	633422.0	635762.0	632546.0	643726.0	653411.0	660979.0	672254.0	675337.0	674657.0	695951.0	723817.0	711304.0	730822.0	733270.0	724291.0	716184.0	715637.0	718041.0	718186.0	708555.0	679884.0	666321.0	638142.0	636974.0	642410.0	643915.0	640492.0	637874.0	640161.0	640633.0	635176.0	635503.0	634865.0	629997.0	619176.0	614593.0	610080.0	606719.0	601159.0	598377.0	594199.0	589878.0	585774.0	589354.0	585801.0	587077.0	577554.0	567367.0	558890.0	551869.0	542819.0	530259.0	521506.0	509455.0	486214.0	470146.0	467148.0	473788.0	466977.0	453617.0	438103.0	424418.0	382424.0
