Sample	5'UTR_Exons	TSS_up_5kb	CDS_Exons	Other_intergenic	TSS_up_10kb	TSS_up_1kb	3'UTR_Exons
824_24h_1	1741324.0	17.0	5072885.0	1441335.0	17.0	17.0	224121.0
824_24h_2	1561513.0	41.0	5587744.0	1286761.0	41.0	41.0	199630.0
824_24h_3	1251986.0	24.0	3994787.0	1054010.0	24.0	24.0	157862.0
824_6h_1	2412373.0	696.0	6431740.0	2543584.0	696.0	696.0	769162.0
824_6h_2	1171004.0	220.0	7447591.0	4150481.0	220.0	220.0	678251.0
824_6h_3	2208346.0	331.0	19140539.0	8230080.0	331.0	331.0	1911481.0
F_3_24h_1	1246232.0	83.0	7342905.0	2312526.0	83.0	83.0	332004.0
F_3_24h_2	1005784.0	99.0	6616530.0	2053647.0	99.0	99.0	310177.0
F_3_24h_3	1154888.0	101.0	8155290.0	2614953.0	101.0	101.0	341201.0
F_3_6h_1	2448057.0	290.0	16132021.0	7654835.0	290.0	290.0	1318983.0
F_3_6h_2	1009822.0	132.0	9821750.0	4117564.0	132.0	132.0	526885.0
F_3_6h_3	1031215.0	203.0	7288720.0	4223640.0	203.0	203.0	855458.0
