Sample	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-reads_aligned	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-50_x_pc
824_24h_1	97.497280775	0.62	233	25.448122663	0.85	40.719610304	80.9245292727	7839653.0	39.7340470161	5	3113434.0	52.8633265432	8040894.0	19.523902948
824_24h_2	98.1456148755	0.5	253	28.175945465	0.88	44.3885161508	83.156014074	8117296.0	39.0234168649	7	3416225.0	56.3917069344	8270666.0	21.7154891962
824_24h_3	97.2835329633	0.55	255	24.2554586036	0.8	39.2546730148	77.2823141821	6057867.0	39.4205741078	5	2496273.0	50.628347179	6227022.0	18.125527452
824_6h_1	87.7350933581	0.76	227	68.7471606676	0.81	93.7199952562	99.7954167294	11108170.0	39.9697496591	48	4910437.0	98.1188520113	12661034.0	49.0345513215
824_6h_2	96.0929289868	0.56	227	40.8772233469	0.82	70.5661494622	98.1132111814	12631379.0	40.5410725283	20	5693164.0	86.2329904901	13144962.0	30.8607603784
824_6h_3	97.2192863958	0.5	231	58.8485222539	0.86	84.7438939392	99.3418940036	29895300.0	40.1073363166	43	13686983.0	93.8666018017	30750380.0	46.5974651486
F_3_24h_1	94.9741128735	0.57	235	42.8555587077	0.85	59.0354400962	86.2341736886	10424465.0	38.49891258	18	4464879.0	69.0363563871	10976112.0	35.5629286859
F_3_24h_2	91.5801001252	0.52	248	39.6938322615	0.83	55.4668584732	84.7448570077	9336811.0	38.4319293314	14	4140012.0	65.5336211349	10195240.0	32.5481664964
F_3_24h_3	90.7396484531	0.54	240	41.6668019549	0.87	57.4149534824	86.1109834663	11439464.0	38.3045338043	16	5071650.0	67.4114671744	12606908.0	34.7389272572
F_3_6h_1	96.1272511362	0.5	224	43.2948830518	0.78	60.3480749774	90.3585834308	26167470.0	40.2662559896	19	11920699.0	71.5029674893	27221698.0	36.1678457836
F_3_6h_2	97.7123874381	0.44	231	36.6648716904	0.9	54.0084425338	88.6107241257	14774881.0	39.6790112653	12	6806757.0	66.3145321262	15120786.0	29.7443438298
F_3_6h_3	96.4828223847	0.5	227	35.4598528376	0.86	55.7036082325	92.5261479983	12699812.0	40.7960148887	13	5809392.0	70.6469921857	13162770.0	28.0179471947
