Sample	tes_down_1kb_total_bases	tes_down_1kb_tags_kb	cds_exons_tag_count	introns_total_bases	5_utr_exons_tags_kb	tss_up_5kb_tag_count	tss_up_1kb_tag_pct	3_utr_exons_tags_kb	3_utr_exons_tag_pct	total_reads	5_utr_exons_tag_count	tes_down_1kb_tag_count	total_assigned_tags	3_utr_exons_tag_count	3_utr_exons_total_bases	tes_down_5kb_tag_pct	tss_up_5kb_total_bases	tes_down_5kb_tags_kb	tes_down_10kb_tag_pct	tss_up_1kb_total_bases	tss_up_1kb_tag_count	other_intergenic_tag_count	introns_tag_count	tes_down_5kb_tag_count	total_tags	cds_exons_tag_pct	tes_down_10kb_tag_count	5_utr_exons_total_bases	tss_up_10kb_tag_pct	tss_up_1kb_tags_kb	5_utr_exons_tag_pct	tss_up_5kb_tag_pct	cds_exons_tags_kb	cds_exons_total_bases	tss_up_10kb_total_bases	tes_down_10kb_total_bases	other_intergenic_tag_pct	tss_up_10kb_tags_kb	introns_tags_kb	tes_down_1kb_tag_pct	tss_up_10kb_tag_count	tes_down_5kb_total_bases	introns_tag_pct	tss_up_5kb_tags_kb	tes_down_10kb_tags_kb
824_24h_1	416591	0.0	5072885	0	1741324.0	17	0.000200479216084	224121.0	2.64303543458	7839653	1741324	0	7038347	224121	8680	0.0	507744	0.0	0.0	469288	17	1441335	0	0	8479682	59.8240004755	0	47628	0.000200479216084	17.0	20.535251204	0.000200479216084	5072885.0	3576942	518834	502682	16.9975124067	17.0	0.0	0.0	17	493384	0.0	17.0	0.0
824_24h_2	416591	0.0	5587744	0	1561513.0	41	0.000474773929446	199630.0	2.31168584232	8117296	1561513	0	7348928	199630	8680	0.0	507744	0.0	0.0	469288	41	1286761	0	0	8635689	64.7052481858	0	47628	0.000474773929446	41.0	18.0820893388	0.000474773929446	5587744.0	3576942	518834	502682	14.9005018592	41.0	0.0	0.0	41	493384	0.0	41.0	0.0
824_24h_3	416591	0.0	3994787	0	1251986.0	24	0.000371593589949	157862.0	2.44418780402	6057867	1251986	0	5404659	157862	8680	0.0	507744	0.0	0.0	469288	24	1054010	0	0	6458669	61.8515517671	0	47628	0.000371593589949	24.0	19.3845821794	0.000371593589949	3994787.0	3576942	518834	502682	16.3193066559	24.0	0.0	0.0	24	493384	0.0	24.0	0.0
824_6h_1	416591	0.0	6431740	0	2412373.0	696	0.00572483529789	769162.0	6.32661748189	11108170	2412373	0	9613971	769162	8680	0.0	507744	0.0	0.0	469288	696	2543584	0	0	12157555	52.9032358891	0	47628	0.00572483529789	696.0	19.84258348	0.00572483529789	6431740.0	3576942	518834	502682	20.9218383137	696.0	0.0	0.0	696	493384	0.0	696.0	0.0
824_6h_2	416591	0.0	7447591	0	1171004.0	220	0.00163598610215	678251.0	5.04367822622	12631379	1171004	0	9297066	678251	8680	0.0	507744	0.0	0.0	469288	220	4150481	0	0	13447547	55.3825244113	0	47628	0.00163598610215	220.0	8.70793758891	0.00163598610215	7447591.0	3576942	518834	502682	30.8642237874	220.0	0.0	0.0	220	493384	0.0	220.0	0.0
824_6h_3	416591	0.0	19140539	0	2208346.0	331	0.00105110140661	1911481.0	6.06997089973	29895300	2208346	0	23260697	1911481	8680	0.0	507744	0.0	0.0	469288	331	8230080	0	0	31490777	60.7814122846	0	47628	0.00105110140661	331.0	7.01267548908	0.00105110140661	19140539.0	3576942	518834	502682	26.1348902252	331.0	0.0	0.0	331	493384	0.0	331.0	0.0
F_3_24h_1	416591	0.0	7342905	0	1246232.0	83	0.000738844998331	332004.0	2.95541560031	10424465	1246232	0	8921224	332004	8680	0.0	507744	0.0	0.0	469288	83	2312526	0	0	11233750	65.3646823189	0	47628	0.000738844998331	83.0	11.0936419272	0.000738844998331	7342905.0	3576942	518834	502682	20.5855213086	83.0	0.0	0.0	83	493384	0.0	83.0	0.0
F_3_24h_2	416591	0.0	6616530	0	1005784.0	99	0.000991364414844	310177.0	3.10604484953	9336811	1005784	0	7932590	310177	8680	0.0	507744	0.0	0.0	469288	99	2053647	0	0	9986237	66.2564888055	0	47628	0.000991364414844	99.0	10.071701683	0.000991364414844	6616530.0	3576942	518834	502682	20.5647732975	99.0	0.0	0.0	99	493384	0.0	99.0	0.0
F_3_24h_3	416591	0.0	8155290	0	1154888.0	101	0.000823385249811	341201.0	2.78158287743	11439464	1154888	0	9651480	341201	8680	0.0	507744	0.0	0.0	469288	101	2614953	0	0	12266433	66.4846088508	0	47628	0.000823385249811	101.0	9.41502717212	0.000823385249811	8155290.0	3576942	518834	502682	21.3179577144	101.0	0.0	0.0	101	493384	0.0	101.0	0.0
F_3_6h_1	416591	0.0	16132021	0	2448057.0	290	0.00105247166438	1318983.0	4.78686976999	26167470	2448057	0	19899351	1318983	8680	0.0	507744	0.0	0.0	469288	290	7654835	0	0	27554186	58.546534454	0	47628	0.00105247166438	290.0	8.88451939752	0.00105247166438	16132021.0	3576942	518834	502682	27.7810239069	290.0	0.0	0.0	290	493384	0.0	290.0	0.0
F_3_6h_2	416591	0.0	9821750	0	1009822.0	132	0.000852925142314	526885.0	3.40449593643	14774881	1009822	0	11358589	526885	8680	0.0	507744	0.0	0.0	469288	132	4117564	0	0	15476153	63.4637690646	0	47628	0.000852925142314	132.0	6.52501949289	0.000852925142314	9821750.0	3576942	518834	502682	26.605862581	132.0	0.0	0.0	132	493384	0.0	132.0	0.0
F_3_6h_3	416591	0.0	7288720	0	1031215.0	203	0.00151501175142	855458.0	6.38437893026	12699812	1031215	0	9175596	855458	8680	0.0	507744	0.0	0.0	469288	203	4223640	0	0	13399236	54.3965342502	0	47628	0.00151501175142	203.0	7.69607311939	0.00151501175142	7288720.0	3576942	518834	502682	31.5214986884	203.0	0.0	0.0	203	493384	0.0	203.0	0.0
