Sample	Assigned	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
824_24h_1	3827106.0	3934472.0	78075.0	201241.0
824_24h_2	3980798.0	4055820.0	80678.0	153370.0
824_24h_3	2958537.0	3040353.0	58977.0	169155.0
824_6h_1	5135407.0	5609415.0	363348.0	1552864.0
824_6h_2	5834059.0	6371298.0	426022.0	513583.0
824_6h_3	13622764.0	15033699.0	1238837.0	855080.0
F_3_24h_1	4967089.0	5249883.0	207493.0	551647.0
F_3_24h_2	4447006.0	4686902.0	202903.0	858429.0
F_3_24h_3	5468233.0	5749191.0	222040.0	1167444.0
F_3_6h_1	12141993.0	13181468.0	844009.0	1054228.0
F_3_6h_2	6980166.0	7428197.0	366518.0	345905.0
F_3_6h_3	5745032.0	6400176.0	554604.0	462958.0
