Sample	Unassigned_Ambiguity	Unassigned_MappingQuality	percent_assigned	Unassigned_Nonjunction	Unassigned_Duplicate	Unassigned_Chimera	Unassigned_Unmapped	Assigned	Unassigned_MultiMapping	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_FragmentLength	Unassigned_NoFeatures	Total
824_24h_1	78075	0	47.5955285569	0	0	0	201241	3827106	0	0	0	0	3934472	8040894
824_24h_2	80678	0	48.1315289482	0	0	0	153370	3980798	0	0	0	0	4055820	8270666
824_24h_3	58977	0	47.51126622	0	0	0	169155	2958537	0	0	0	0	3040353	6227022
824_6h_1	363348	0	40.5607235554	0	0	0	1552864	5135407	0	0	0	0	5609415	12661034
824_6h_2	426022	0	44.3824713985	0	0	0	513583	5834059	0	0	0	0	6371298	13144962
824_6h_3	1238837	0	44.3011240837	0	0	0	855080	13622764	0	0	0	0	15033699	30750380
F_3_24h_1	207493	0	45.2536289717	0	0	0	551647	4967089	0	0	0	0	5249883	10976112
F_3_24h_2	202903	0	43.6184533174	0	0	0	858429	4447006	0	0	0	0	4686902	10195240
F_3_24h_3	222040	0	43.3748941453	0	0	0	1167444	5468233	0	0	0	0	5749191	12606908
F_3_6h_1	844009	0	44.6040985393	0	0	0	1054228	12141993	0	0	0	0	13181468	27221698
F_3_6h_2	366518	0	46.162719319	0	0	0	345905	6980166	0	0	0	0	7428197	15120786
F_3_6h_3	554604	0	43.6460714576	0	0	0	462958	5745032	0	0	0	0	6400176	13162770
