Sample	featureCounts_mqc-generalstats-featurecounts-Assigned	featureCounts_mqc-generalstats-featurecounts-percent_assigned
824_24h_1	3827106	47.5955285569
824_24h_2	3980798	48.1315289482
824_24h_3	2958537	47.51126622
824_6h_1	5135407	40.5607235554
824_6h_2	5834059	44.3824713985
824_6h_3	13622764	44.3011240837
F_3_24h_1	4967089	45.2536289717
F_3_24h_2	4447006	43.6184533174
F_3_24h_3	5468233	43.3748941453
F_3_6h_1	12141993	44.6040985393
F_3_6h_2	6980166	46.162719319
F_3_6h_3	5745032	43.6460714576
