"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko00860"	"Porphyrin and chlorophyll metabolism"	"26/654"	"33/1233"	0.00182366776946984	0.140422418249178	0.138214820422978	"gene107/gene106/gene2508/gene1445/gene897/gene1435/gene1434/gene1443/gene1430/gene1046/gene103/gene632/gene108/gene1078/gene1436/gene104/gene1438/gene1440/gene1432/gene1919/gene1439/gene1441/gene1429/gene1446/gene2981/gene105"	26
"ko00500"	"Starch and sucrose metabolism"	"42/654"	"62/1233"	0.0115729555503944	0.445558788690185	0.438554105067578	"gene964/gene965/gene609/gene969/gene1110/gene966/gene580/gene1467/gene236/gene2299/gene618/gene3049/gene2300/gene2764/gene2763/gene2298/gene3949/gene1132/gene1723/gene738/gene2396/gene2769/gene795/gene3526/gene584/gene755/gene3525/gene430/gene2892/gene469/gene1470/gene3524/gene970/gene468/gene470/gene579/gene1622/gene2675/gene2311/gene3065/gene1141/gene429"	42
"ko03010"	"Ribosome"	"39/654"	"60/1233"	0.0374946091578206	0.710505493144732	0.699335550327009	"gene3216/gene3230/gene3214/gene1333/gene3223/gene3181/gene3228/gene1865/gene3200/gene3205/gene3190/gene3201/gene3198/gene1347/gene1792/gene3203/gene3213/gene3233/gene3832/gene3224/gene3218/gene3187/gene1818/gene1319/gene3182/gene2028/gene1804/gene1317/gene1845/gene1859/gene3229/gene3227/gene3207/gene3215/gene2420/gene3849/gene3834/gene1814/gene3199"	39
"ko00010"	"Glycolysis / Gluconeogenesis"	"30/654"	"45/1233"	0.0422434458147119	0.710505493144732	0.699335550327009	"gene761/gene2524/gene2523/gene1633/gene4013/gene3767/gene762/gene1467/gene3885/gene3655/gene618/gene2290/gene293/gene2764/gene1093/gene563/gene795/gene3526/gene562/gene2563/gene3525/gene760/gene1470/gene3524/gene3915/gene579/gene2824/gene3065/gene1141/gene429"	30
"ko01502"	"Vancomycin resistance"	"11/654"	"14/1233"	0.0461367203340735	0.710505493144732	0.699335550327009	"gene2499/gene2188/gene1601/gene2980/gene3322/gene3509/gene1015/gene3394/gene537/gene3137/gene3428"	11
"ko00261"	"Monobactam biosynthesis"	"8/654"	"10/1233"	0.0786861300280879	0.86891959226776	0.855259202232109	"gene117/gene26/gene111/gene3710/gene309/gene118/gene2446/gene2445"	8
"ko00220"	"Arginine biosynthesis"	"12/654"	"17/1233"	0.111257510328637	0.86891959226776	0.855259202232109	"gene20/gene2914/gene1057/gene2719/gene1111/gene1877/gene789/gene2455/gene2456/gene1029/gene2457/gene1530"	12
"ko00300"	"Lysine biosynthesis"	"16/654"	"24/1233"	0.125806395044824	0.86891959226776	0.855259202232109	"gene2901/gene26/gene3509/gene1015/gene3710/gene309/gene2806/gene656/gene2446/gene2445/gene3137/gene523/gene2455/gene2190/gene2359/gene3428"	16
"ko02010"	"ABC transporters"	"58/654"	"99/1233"	0.147348344874468	0.86891959226776	0.855259202232109	"gene3620/gene931/gene1042/gene932/gene3424/gene1040/gene933/gene3184/gene732/gene1041/gene3422/gene3423/gene2390/gene2508/gene3829/gene1428/gene1601/gene2722/gene2052/gene3740/gene2053/gene1942/gene535/gene574/gene2931/gene3117/gene2507/gene2962/gene2051/gene270/gene890/gene1515/gene528/gene317/gene3780/gene889/gene271/gene319/gene3750/gene3186/gene3739/gene3334/gene474/gene233/gene2459/gene318/gene3555/gene3744/gene1438/gene840/gene825/gene1429/gene1538/gene843/gene3654/gene1537/gene1536/gene3782"	58
"ko00330"	"Arginine and proline metabolism"	"11/654"	"16/1233"	0.155054831876458	0.86891959226776	0.855259202232109	"gene3275/gene2914/gene2399/gene1057/gene1111/gene1877/gene656/gene2287/gene2663/gene2664/gene2658"	11
"ko00360"	"Phenylalanine metabolism"	"8/654"	"11/1233"	0.156266906203924	0.86891959226776	0.855259202232109	"gene1745/gene2914/gene3115/gene1057/gene3469/gene1877/gene2287/gene991"	8
"ko01503"	"Cationic antimicrobial peptide (CAMP) resistance"	"8/654"	"11/1233"	0.156266906203924	0.86891959226776	0.855259202232109	"gene2498/gene1472/gene2566/gene2690/gene3176/gene361/gene508/gene2565"	8
"ko00550"	"Peptidoglycan biosynthesis"	"22/654"	"35/1233"	0.156571709857622	0.86891959226776	0.855259202232109	"gene2901/gene2503/gene4001/gene551/gene2125/gene2188/gene2191/gene1601/gene2980/gene3322/gene3509/gene1015/gene373/gene3394/gene653/gene1016/gene3137/gene2190/gene546/gene1747/gene2462/gene3428"	22
"ko01120"	"Microbial metabolism in diverse environments"	"100/654"	"176/1233"	0.15798538041232	0.86891959226776	0.855259202232109	"gene3929/gene209/gene1081/gene1027/gene4014/gene3030/gene761/gene3631/gene2524/gene2523/gene984/gene1633/gene4015/gene117/gene4013/gene2081/gene3767/gene107/gene438/gene3671/gene762/gene718/gene106/gene3885/gene1665/gene3672/gene1834/gene2145/gene770/gene3655/gene19/gene2719/gene2290/gene26/gene3160/gene2768/gene112/gene111/gene3469/gene3058/gene293/gene2764/gene243/gene3710/gene97/gene102/gene309/gene3519/gene1028/gene2806/gene778/gene118/gene1093/gene3446/gene656/gene2446/gene1733/gene2513/gene3318/gene2296/gene1404/gene441/gene563/gene581/gene1046/gene2352/gene3992/gene562/gene2563/gene2445/gene760/gene523/gene735/gene259/gene2958/gene103/gene108/gene3993/gene3105/gene2455/gene3733/gene849/gene1436/gene3915/gene2916/gene1478/gene104/gene614/gene2562/gene1408/gene1402/gene1441/gene2775/gene3258/gene507/gene1482/gene2981/gene2824/gene3065/gene105"	100
"ko02020"	"Two-component system"	"64/654"	"111/1233"	0.178380212212269	0.915685089356317	0.901289493283046	"gene3929/gene1081/gene4014/gene710/gene4015/gene3933/gene3341/gene1614/gene2351/gene2498/gene86/gene956/gene2499/gene3600/gene2484/gene0/gene2547/gene2204/gene2719/gene3530/gene1292/gene1694/gene346/gene867/gene3394/gene1942/gene3237/gene2282/gene2350/gene2281/gene2474/gene1413/gene3611/gene76/gene1472/gene528/gene1760/gene2279/gene2829/gene2678/gene2828/gene2885/gene857/gene2958/gene1584/gene3529/gene2847/gene126/gene590/gene414/gene756/gene3665/gene633/gene2609/gene2903/gene361/gene508/gene3575/gene128/gene621/gene3495/gene3528/gene127/gene3654"	64
"ko00650"	"Butanoate metabolism"	"18/654"	"29/1233"	0.213243428793298	0.977699379655984	0.962328849422158	"gene3929/gene1081/gene4014/gene2524/gene2523/gene4015/gene4013/gene3885/gene2290/gene3160/gene3261/gene2796/gene2563/gene2958/gene1950/gene1719/gene507/gene1928"	18
"ko04112"	"Cell cycle - Caulobacter"	"14/654"	"22/1233"	0.215855707196776	0.977699379655984	0.962328849422158	"gene2698/gene1751/gene3825/gene0/gene3558/gene501/gene2187/gene1752/gene3826/gene1952/gene1219/gene2699/gene2196/gene1251"	14
"ko00061"	"Fatty acid biosynthesis"	"12/654"	"19/1233"	0.25645023159445	0.994063635753406	0.978435841069654	"gene3940/gene3671/gene3672/gene3680/gene866/gene3701/gene3675/gene2082/gene3990/gene2352/gene2071/gene507"	12
"ko01212"	"Fatty acid metabolism"	"13/654"	"21/1233"	0.275634727539048	0.994063635753406	0.978435841069654	"gene3929/gene3940/gene3671/gene3672/gene3680/gene866/gene3675/gene2082/gene3990/gene2352/gene2071/gene2958/gene507"	13
"ko00910"	"Nitrogen metabolism"	"10/654"	"16/1233"	0.306792601949096	0.994063635753406	0.978435841069654	"gene20/gene718/gene2719/gene3527/gene102/gene3682/gene789/gene1733/gene2513/gene2546"	10
"ko00020"	"Citrate cycle (TCA cycle)"	"7/654"	"11/1233"	0.346201913101178	0.994063635753406	0.978435841069654	"gene1081/gene1027/gene2524/gene2523/gene2290/gene1028/gene2563"	7
"ko00250"	"Alanine, aspartate and glutamate metabolism"	"18/654"	"31/1233"	0.351454724088391	0.994063635753406	0.978435841069654	"gene1080/gene1081/gene20/gene179/gene2914/gene1879/gene1057/gene2719/gene1453/gene1454/gene1877/gene789/gene1733/gene3703/gene1712/gene2715/gene1029/gene2706"	18
