"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko03010"	"Ribosome"	"30/353"	"60/1233"	0.000274716478487668	0.0208784523650627	0.0199530915954201	"gene3216/gene3230/gene3214/gene1333/gene3223/gene3181/gene3228/gene3200/gene3205/gene3190/gene3201/gene3198/gene1347/gene1792/gene3203/gene3213/gene3832/gene3218/gene3187/gene1818/gene1319/gene2028/gene1317/gene3229/gene3227/gene3207/gene3215/gene3849/gene3834/gene3199"	30
"ko00860"	"Porphyrin and chlorophyll metabolism"	"17/353"	"33/1233"	0.00416553565277957	0.158290354805624	0.151274715811469	"gene2508/gene1445/gene1435/gene1434/gene1443/gene1430/gene1078/gene1436/gene1438/gene1440/gene1432/gene1919/gene1439/gene1441/gene1429/gene1446/gene2981"	17
"ko02010"	"ABC transporters"	"39/353"	"99/1233"	0.0106174994390138	0.242388678878418	0.231645690340871	"gene3184/gene2390/gene2508/gene1428/gene2722/gene2052/gene3740/gene2053/gene1942/gene535/gene2931/gene3117/gene2507/gene2051/gene890/gene1515/gene528/gene317/gene3780/gene319/gene3750/gene3186/gene3739/gene474/gene233/gene2459/gene318/gene3555/gene3744/gene1438/gene840/gene825/gene1429/gene1538/gene843/gene3654/gene1537/gene1536/gene3782"	39
"ko02060"	"Phosphotransferase system (PTS)"	"14/353"	"28/1233"	0.0127572988883378	0.242388678878418	0.231645690340871	"gene1414/gene3919/gene618/gene3918/gene3917/gene3526/gene430/gene3524/gene468/gene1469/gene579/gene177/gene1520/gene3041"	14
"ko00520"	"Amino sugar and nucleotide sugar metabolism"	"25/353"	"60/1233"	0.0182473849695154	0.277360251536635	0.265067276399277	"gene1414/gene3919/gene2299/gene618/gene2227/gene2764/gene2298/gene2578/gene3918/gene3917/gene1491/gene3526/gene529/gene3407/gene469/gene846/gene3524/gene2239/gene2230/gene2247/gene3053/gene579/gene2311/gene1520/gene3065"	25
"ko00500"	"Starch and sucrose metabolism"	"25/353"	"62/1233"	0.0283886444663748	0.359589496574081	0.34365201196138	"gene2299/gene618/gene2300/gene2764/gene2763/gene2298/gene1132/gene1723/gene795/gene3526/gene3525/gene430/gene2892/gene469/gene1470/gene3524/gene468/gene470/gene579/gene1622/gene2675/gene2311/gene3065/gene1141/gene429"	25
"ko02020"	"Two-component system"	"40/353"	"111/1233"	0.0465890102661616	0.505823540032611	0.48340476817521	"gene710/gene2351/gene86/gene956/gene2484/gene0/gene2547/gene2719/gene3530/gene1694/gene346/gene1942/gene3237/gene2350/gene1413/gene3611/gene76/gene528/gene2829/gene2678/gene2828/gene2885/gene857/gene1584/gene3529/gene126/gene590/gene414/gene3665/gene2609/gene2903/gene361/gene508/gene3575/gene128/gene621/gene3495/gene3528/gene127/gene3654"	40
"ko02026"	"Biofilm formation - Escherichia coli"	"9/353"	"19/1233"	0.0630632718097179	0.572223292919204	0.546861595726109	"gene2299/gene618/gene2300/gene2298/gene1723/gene3526/gene1285/gene1622/gene1328"	9
"ko04112"	"Cell cycle - Caulobacter"	"10/353"	"22/1233"	0.0677632846878005	0.572223292919204	0.546861595726109	"gene1751/gene0/gene3558/gene2187/gene1752/gene1952/gene1219/gene2699/gene2196/gene1251"	10
"ko00550"	"Peptidoglycan biosynthesis"	"13/353"	"35/1233"	0.172526541266987	0.999261427206729	0.954972832095073	"gene2901/gene2503/gene4001/gene2188/gene2191/gene1015/gene373/gene653/gene1016/gene2190/gene546/gene2462/gene3428"	13
