"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko01120"	"Microbial metabolism in diverse environments"	"65/301"	"176/1233"	4.05889455272269e-05	0.00304417091454202	0.00273441317236055	"gene3929/gene209/gene1081/gene1027/gene4014/gene3030/gene761/gene3631/gene2524/gene2523/gene984/gene1633/gene4015/gene117/gene4013/gene2081/gene3767/gene107/gene438/gene3671/gene762/gene718/gene106/gene3885/gene1665/gene3672/gene2145/gene770/gene3655/gene26/gene3160/gene2768/gene112/gene111/gene3469/gene3058/gene293/gene243/gene97/gene1028/gene2806/gene118/gene1093/gene3446/gene656/gene2446/gene1733/gene2513/gene2296/gene441/gene563/gene1046/gene562/gene2445/gene760/gene735/gene259/gene2958/gene103/gene108/gene3105/gene2455/gene3733/gene104/gene105"	65
"ko01200"	"Carbon metabolism"	"33/301"	"87/1233"	0.00250947558271761	0.0941053343519105	0.0845297038389091	"gene3929/gene209/gene1081/gene1027/gene3030/gene761/gene3631/gene2524/gene2523/gene984/gene1633/gene2081/gene3767/gene438/gene3671/gene762/gene3672/gene2145/gene3160/gene2768/gene3058/gene97/gene1028/gene1093/gene3446/gene2296/gene441/gene563/gene2796/gene562/gene760/gene735/gene2958"	33
"ko00640"	"Propanoate metabolism"	"11/301"	"21/1233"	0.00492685741510817	0.123171435377704	0.110638201602429	"gene3929/gene4014/gene4015/gene3671/gene1665/gene3672/gene3655/gene4016/gene3160/gene293/gene2958"	11
"ko00270"	"Cysteine and methionine metabolism"	"18/301"	"43/1233"	0.00779377628972843	0.146133305432408	0.13126360066911	"gene745/gene2516/gene984/gene983/gene1883/gene110/gene2865/gene3655/gene2914/gene1057/gene26/gene1601/gene293/gene1877/gene3446/gene2937/gene2296/gene735"	18
"ko00450"	"Selenocompound metabolism"	"9/301"	"18/1233"	0.0158779055392415	0.214136292088483	0.192346985174216	"gene1609/gene983/gene117/gene3166/gene110/gene3388/gene111/gene922/gene118"	9
"ko00261"	"Monobactam biosynthesis"	"6/301"	"10/1233"	0.0171309033670786	0.214136292088483	0.192346985174216	"gene117/gene26/gene111/gene118/gene2446/gene2445"	6
"ko01130"	"Biosynthesis of antibiotics"	"57/301"	"188/1233"	0.026875246958158	0.280386400367548	0.251855854365236	"gene3929/gene209/gene210/gene1081/gene1027/gene3030/gene3269/gene761/gene2524/gene2523/gene984/gene1633/gene949/gene117/gene4013/gene945/gene948/gene947/gene179/gene3671/gene946/gene762/gene110/gene3885/gene3672/gene3655/gene2914/gene1057/gene479/gene26/gene1111/gene212/gene111/gene293/gene565/gene97/gene1853/gene1028/gene1877/gene118/gene1855/gene1093/gene656/gene2446/gene1733/gene950/gene2296/gene2396/gene563/gene951/gene462/gene562/gene2445/gene760/gene2958/gene3105/gene2455"	57
"ko01502"	"Vancomycin resistance"	"7/301"	"14/1233"	0.0330408021002541	0.280386400367548	0.251855854365236	"gene2499/gene1601/gene2980/gene3322/gene3509/gene3394/gene3137"	7
"ko00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"10/301"	"23/1233"	0.0336463680441057	0.280386400367548	0.251855854365236	"gene949/gene945/gene948/gene947/gene946/gene2914/gene1057/gene1877/gene950/gene951"	10
"ko00920"	"Sulfur metabolism"	"9/301"	"21/1233"	0.0475055108359011	0.333396583344042	0.299472018723069	"gene984/gene117/gene1883/gene110/gene112/gene111/gene118/gene2296/gene735"	9
"ko00630"	"Glyoxylate and dicarboxylate metabolism"	"8/301"	"18/1233"	0.0488981655571262	0.333396583344042	0.299472018723069	"gene3929/gene1027/gene3030/gene438/gene3058/gene441/gene462/gene2958"	8
"ko00620"	"Pyruvate metabolism"	"14/301"	"38/1233"	0.0568577174897219	0.355360734310762	0.31920122099493	"gene3929/gene1081/gene2524/gene2523/gene4013/gene3671/gene3885/gene3672/gene3655/gene3160/gene293/gene1093/gene563/gene2958"	14
"ko00650"	"Butanoate metabolism"	"11/301"	"29/1233"	0.0716649559466449	0.413451668922952	0.371381148225528	"gene3929/gene1081/gene4014/gene2524/gene2523/gene4015/gene4013/gene3885/gene3160/gene2796/gene2958"	11
"ko00720"	"Carbon fixation pathways in prokaryotes"	"11/301"	"30/1233"	0.0894423081357519	0.473111340164905	0.424970186253389	"gene3929/gene1081/gene1027/gene2524/gene2523/gene3671/gene3672/gene2145/gene3160/gene3446/gene2958"	11
"ko00020"	"Citrate cycle (TCA cycle)"	"5/301"	"11/1233"	0.104434063066477	0.473111340164905	0.424970186253389	"gene1081/gene1027/gene2524/gene2523/gene1028"	5
"ko00360"	"Phenylalanine metabolism"	"5/301"	"11/1233"	0.104434063066477	0.473111340164905	0.424970186253389	"gene1745/gene2914/gene1057/gene3469/gene1877"	5
"ko00010"	"Glycolysis / Gluconeogenesis"	"15/301"	"45/1233"	0.109184504097293	0.473111340164905	0.424970186253389	"gene761/gene2524/gene2523/gene1633/gene4013/gene3767/gene762/gene1467/gene3885/gene3655/gene293/gene1093/gene563/gene562/gene760"	15
"ko01212"	"Fatty acid metabolism"	"8/301"	"21/1233"	0.114553955776926	0.473111340164905	0.424970186253389	"gene3929/gene3940/gene3671/gene3672/gene3680/gene3675/gene2071/gene2958"	8
