"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko01212"	"Fatty acid metabolism"	"18/609"	"21/1233"	0.000563237345918139	0.0433692756356967	0.0433692756356967	"gene3929/gene3671/gene866/gene3940/gene2958/gene3680/gene3677/gene3675/gene3672/gene3985/gene3990/gene3673/gene2795/gene2074/gene2352/gene3678/gene3670/gene2082"	18
"ko00061"	"Fatty acid biosynthesis"	"15/609"	"19/1233"	0.0079333836388843	0.305435270097046	0.305435270097046	"gene3671/gene866/gene3940/gene3680/gene3677/gene3675/gene3672/gene3985/gene3990/gene3673/gene2074/gene2352/gene3678/gene3670/gene2082"	15
"ko02010"	"ABC transporters"	"58/609"	"99/1233"	0.0355194448595003	0.911665751393841	0.911665751393841	"gene3620/gene931/gene932/gene2931/gene933/gene732/gene3184/gene3424/gene2930/gene2053/gene2390/gene1042/gene1040/gene3740/gene2051/gene528/gene2508/gene3423/gene3422/gene2052/gene3117/gene2722/gene3741/gene2839/gene890/gene3829/gene2838/gene1654/gene1041/gene270/gene1601/gene3739/gene2507/gene3334/gene1428/gene271/gene891/gene843/gene3186/gene3335/gene317/gene3924/gene3742/gene319/gene318/gene542/gene3185/gene892/gene233/gene2918/gene1515/gene824/gene472/gene3091/gene1942/gene840/gene3782/gene1437"	58
"ko01110"	"Biosynthesis of secondary metabolites"	"135/609"	"249/1233"	0.0511200676168282	0.984061301623943	0.984061301623943	"gene3929/gene209/gene1633/gene949/gene3030/gene3269/gene984/gene3671/gene106/gene983/gene107/gene3862/gene945/gene2086/gene640/gene103/gene3885/gene1055/gene110/gene947/gene2958/gene293/gene761/gene1864/gene1723/gene1110/gene1027/gene3519/gene108/gene3717/gene360/gene948/gene1850/gene1733/gene2937/gene656/gene990/gene2763/gene105/gene3672/gene762/gene2296/gene1666/gene2300/gene2795/gene951/gene2999/gene2299/gene736/gene4013/gene3000/gene3261/gene950/gene435/gene1132/gene1745/gene2764/gene3655/gene104/gene641/gene2352/gene638/gene1046/gene1774/gene22/gene946/gene1294/gene2810/gene3910/gene3022/gene3670/gene639/gene300/gene746/gene3174/gene2674/gene1533/gene563/gene1028/gene1773/gene397/gene3246/gene3318/gene2142/gene1817/gene3295/gene1408/gene479/gene286/gene3003/gene1295/gene2252/gene2564/gene760/gene3038/gene3714/gene2785/gene616/gene2458/gene2298/gene778/gene1276/gene1458/gene1076/gene2178/gene2139/gene3259/gene1078/gene434/gene1715/gene988/gene16/gene1383/gene2287/gene2304/gene3243/gene994/gene1030/gene3957/gene1879/gene2481/gene3248/gene989/gene723/gene3247/gene1029/gene1441/gene3104/gene722/gene991/gene33/gene995/gene993/gene3175/gene848"	135
"ko03410"	"Base excision repair"	"11/609"	"16/1233"	0.0949524272055821	0.996172656258063	0.996172656258063	"gene737/gene1155/gene241/gene3081/gene790/gene1257/gene1692/gene2591/gene2338/gene3054/gene2293"	11
"ko00500"	"Starch and sucrose metabolism"	"36/609"	"62/1233"	0.101706642700667	0.996172656258063	0.996172656258063	"gene969/gene965/gene964/gene966/gene755/gene618/gene1723/gene1110/gene970/gene609/gene3049/gene580/gene430/gene1467/gene2763/gene2300/gene2299/gene2769/gene1132/gene2764/gene236/gene2674/gene1415/gene2298/gene3050/gene2892/gene1830/gene795/gene579/gene584/gene2481/gene238/gene3526/gene2618/gene1470/gene237"	36
"ko00020"	"Citrate cycle (TCA cycle)"	"8/609"	"11/1233"	0.104601348806146	0.996172656258063	0.996172656258063	"gene1027/gene2523/gene2524/gene2290/gene300/gene3174/gene1028/gene3175"	8
"ko00340"	"Histidine metabolism"	"8/609"	"11/1233"	0.104601348806146	0.996172656258063	0.996172656258063	"gene990/gene2810/gene988/gene994/gene989/gene991/gene995/gene993"	8
"ko01200"	"Carbon metabolism"	"48/609"	"87/1233"	0.156866620424472	0.996172656258063	0.996172656258063	"gene3929/gene209/gene1633/gene438/gene3030/gene984/gene3671/gene441/gene2958/gene761/gene1027/gene2523/gene2081/gene3631/gene2524/gene2768/gene3160/gene3672/gene762/gene3058/gene2796/gene2290/gene2296/gene2795/gene439/gene97/gene1770/gene2764/gene2145/gene2352/gene3670/gene300/gene3174/gene2674/gene563/gene1028/gene3318/gene1408/gene124/gene760/gene3038/gene3767/gene778/gene440/gene723/gene2562/gene722/gene3175"	48
"ko00920"	"Sulfur metabolism"	"13/609"	"21/1233"	0.174601202560564	0.996172656258063	0.996172656258063	"gene117/gene984/gene112/gene110/gene118/gene111/gene1862/gene2296/gene435/gene519/gene434/gene1259/gene113"	13
