"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko01120"	"Microbial metabolism in diverse environments"	"75/354"	"176/1233"	1.38536595049251e-05	0.00105287812237431	0.000860385169253246	"gene3929/gene209/gene1633/gene117/gene438/gene3030/gene984/gene3671/gene106/gene107/gene112/gene103/gene3885/gene4014/gene441/gene118/gene770/gene2958/gene293/gene761/gene1027/gene2523/gene3469/gene111/gene2081/gene108/gene4015/gene3631/gene2524/gene2768/gene1733/gene656/gene3160/gene105/gene3672/gene762/gene3058/gene2296/gene2806/gene1665/gene2795/gene439/gene97/gene4013/gene3733/gene3655/gene104/gene2145/gene3683/gene259/gene3670/gene718/gene300/gene746/gene519/gene3174/gene2674/gene563/gene1028/gene283/gene1408/gene2712/gene760/gene3038/gene3105/gene3767/gene282/gene440/gene1259/gene3331/gene2513/gene2562/gene113/gene1441/gene3175"	75
"ko01200"	"Carbon metabolism"	"41/354"	"87/1233"	0.000120517699226806	0.00457967257061861	0.00374239171283238	"gene3929/gene209/gene1633/gene438/gene3030/gene984/gene3671/gene441/gene2958/gene761/gene1027/gene2523/gene2081/gene3631/gene2524/gene2768/gene3160/gene3672/gene762/gene3058/gene2796/gene2296/gene2795/gene439/gene97/gene2145/gene3670/gene300/gene3174/gene2674/gene563/gene1028/gene1408/gene760/gene3038/gene3767/gene440/gene723/gene2562/gene722/gene3175"	41
"ko01110"	"Biosynthesis of secondary metabolites"	"95/354"	"249/1233"	0.000197665517470787	0.00500752644259328	0.0040920229932549	"gene3929/gene209/gene1633/gene949/gene3030/gene3269/gene984/gene3671/gene106/gene983/gene107/gene945/gene640/gene103/gene3885/gene110/gene947/gene2958/gene293/gene761/gene1110/gene1027/gene108/gene3717/gene360/gene948/gene1733/gene2937/gene656/gene990/gene105/gene3672/gene762/gene2296/gene1666/gene2795/gene951/gene736/gene4013/gene950/gene435/gene1745/gene3655/gene104/gene641/gene638/gene946/gene2810/gene3670/gene639/gene300/gene746/gene3174/gene2674/gene563/gene1028/gene3246/gene2142/gene1817/gene3295/gene1408/gene479/gene286/gene3003/gene2252/gene760/gene3038/gene3714/gene2785/gene2458/gene1276/gene1076/gene434/gene1715/gene988/gene16/gene1383/gene3243/gene994/gene1030/gene3957/gene2481/gene3248/gene989/gene723/gene3247/gene1029/gene1441/gene3104/gene722/gene991/gene33/gene995/gene993/gene3175"	95
"ko00340"	"Histidine metabolism"	"8/354"	"11/1233"	0.00303373220183964	0.0572750176764951	0.0468036848048922	"gene990/gene2810/gene988/gene994/gene989/gene991/gene995/gene993"	8
"ko01130"	"Biosynthesis of antibiotics"	"70/354"	"188/1233"	0.00376809326819047	0.0572750176764951	0.0468036848048922	"gene3929/gene210/gene209/gene1633/gene117/gene949/gene3030/gene3269/gene984/gene3671/gene945/gene3885/gene110/gene947/gene118/gene2958/gene293/gene761/gene1027/gene2523/gene111/gene360/gene948/gene2524/gene1733/gene3677/gene656/gene3672/gene762/gene2296/gene951/gene97/gene4013/gene950/gene435/gene3655/gene212/gene946/gene3670/gene300/gene746/gene3174/gene2674/gene563/gene1028/gene3246/gene2142/gene1817/gene1408/gene479/gene3003/gene760/gene3038/gene3105/gene3714/gene2458/gene434/gene1715/gene3243/gene1030/gene3957/gene3248/gene723/gene3247/gene1029/gene3104/gene722/gene991/gene33/gene3175"	70
"ko00920"	"Sulfur metabolism"	"12/354"	"21/1233"	0.0055653562367152	0.0604238677129078	0.0493768448069469	"gene117/gene984/gene112/gene110/gene118/gene111/gene2296/gene435/gene519/gene434/gene1259/gene113"	12
"ko01212"	"Fatty acid metabolism"	"12/354"	"21/1233"	0.0055653562367152	0.0604238677129078	0.0493768448069469	"gene3929/gene3671/gene3940/gene2958/gene3680/gene3677/gene3675/gene3672/gene3673/gene2795/gene3678/gene3670"	12
"ko01230"	"Biosynthesis of amino acids"	"51/354"	"135/1233"	0.0100615729475185	0.0955849430014261	0.0781095794609992	"gene949/gene3030/gene984/gene983/gene945/gene441/gene110/gene947/gene761/gene1027/gene360/gene2516/gene948/gene1733/gene2937/gene656/gene990/gene762/gene2296/gene2806/gene951/gene97/gene950/gene435/gene946/gene2810/gene563/gene1028/gene3246/gene1408/gene286/gene760/gene3038/gene3714/gene2458/gene434/gene988/gene440/gene3243/gene994/gene1030/gene3248/gene989/gene723/gene3247/gene1029/gene3104/gene722/gene991/gene995/gene993"	51
"ko00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"12/354"	"23/1233"	0.0142421998194946	0.111330763585609	0.0909766627638629	"gene949/gene945/gene947/gene948/gene951/gene950/gene946/gene3246/gene3243/gene3248/gene3247/gene991"	12
"ko00450"	"Selenocompound metabolism"	"10/354"	"18/1233"	0.0146487846823169	0.111330763585609	0.0909766627638629	"gene117/gene1609/gene983/gene3388/gene110/gene118/gene3166/gene111/gene435/gene434"	10
"ko00020"	"Citrate cycle (TCA cycle)"	"7/354"	"11/1233"	0.0164439335322692	0.113612631677496	0.0928413472156824	"gene1027/gene2523/gene2524/gene300/gene3174/gene1028/gene3175"	7
"ko00640"	"Propanoate metabolism"	"11/354"	"21/1233"	0.0181557594523528	0.114986476531568	0.0939640182183173	"gene3929/gene3671/gene4014/gene2958/gene293/gene4015/gene3160/gene3672/gene1665/gene3655/gene3670"	11
"ko00620"	"Pyruvate metabolism"	"17/354"	"38/1233"	0.0238749019631617	0.139576349938484	0.114058236099315	"gene3929/gene3671/gene3885/gene2958/gene293/gene2523/gene2524/gene3160/gene3672/gene4013/gene3655/gene3670/gene300/gene3174/gene563/gene286/gene3175"	17
"ko00720"	"Carbon fixation pathways in prokaryotes"	"14/354"	"30/1233"	0.0263414032186908	0.142996188901464	0.116852841346072	"gene3929/gene3671/gene2958/gene1027/gene2523/gene2524/gene3160/gene3672/gene2145/gene3670/gene300/gene3174/gene2562/gene3175"	14
"ko04122"	"Sulfur relay system"	"6/354"	"10/1233"	0.0379009562984346	0.181058099485609	0.147956064676606	"gene3388/gene3008/gene2294/gene3057/gene3009/gene2055"	6
"ko00983"	"Drug metabolism - other enzymes"	"8/354"	"15/1233"	0.0381174946285493	0.181058099485609	0.147956064676606	"gene1607/gene2713/gene2670/gene3295/gene2785/gene1605/gene1269/gene1487"	8
"ko00630"	"Glyoxylate and dicarboxylate metabolism"	"9/354"	"18/1233"	0.0447225916598758	0.199936292126503	0.16338284259645	"gene3929/gene438/gene3030/gene441/gene2958/gene1027/gene3058/gene3174/gene33"	9
"ko00061"	"Fatty acid biosynthesis"	"9/354"	"19/1233"	0.0641034894898582	0.260186658767582	0.212617906749132	"gene3671/gene3940/gene3680/gene3677/gene3675/gene3672/gene3673/gene3678/gene3670"	9
"ko00010"	"Glycolysis / Gluconeogenesis"	"18/354"	"45/1233"	0.0650466646918954	0.260186658767582	0.212617906749132	"gene1633/gene3885/gene293/gene761/gene2523/gene1467/gene2524/gene762/gene4013/gene3655/gene3683/gene746/gene2674/gene563/gene760/gene3767/gene579/gene1470"	18
"ko00680"	"Methane metabolism"	"12/354"	"28/1233"	0.0751958269643927	0.285744142464692	0.233502831099956	"gene1633/gene3030/gene441/gene761/gene3631/gene3160/gene762/gene97/gene3105/gene440/gene3331/gene2562"	12
