"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko00860"	"Porphyrin and chlorophyll metabolism"	"17/317"	"33/1233"	0.0011458314540904	0.0803545748380485	0.0733059279224303	"gene1435/gene108/gene1445/gene1430/gene1046/gene897/gene1436/gene1434/gene1443/gene107/gene1433/gene106/gene105/gene1441/gene103/gene1438/gene1437"	17
"ko00650"	"Butanoate metabolism"	"15/317"	"29/1233"	0.00214278866234796	0.0803545748380485	0.0733059279224303	"gene1081/gene3052/gene2792/gene1036/gene3929/gene1950/gene2958/gene4014/gene2795/gene3885/gene2796/gene1719/gene2523/gene412/gene3254"	15
"ko00340"	"Histidine metabolism"	"7/317"	"11/1233"	0.00863291819375182	0.208924434662243	0.19059772986731	"gene3115/gene990/gene2810/gene992/gene994/gene993/gene988"	7
"ko00220"	"Arginine biosynthesis"	"9/317"	"17/1233"	0.0143347258618628	0.208924434662243	0.19059772986731	"gene20/gene2719/gene1877/gene2455/gene360/gene2457/gene1029/gene2456/gene789"	9
"ko01110"	"Biosynthesis of secondary metabolites"	"78/317"	"249/1233"	0.0152923275158876	0.208924434662243	0.19059772986731	"gene1081/gene3115/gene638/gene3862/gene1715/gene1457/gene108/gene990/gene209/gene1294/gene640/gene3929/gene2300/gene1046/gene2298/gene3717/gene758/gene2299/gene1055/gene3022/gene1453/gene2560/gene1409/gene1408/gene1455/gene1879/gene759/gene1494/gene1027/gene2958/gene1877/gene2455/gene360/gene2795/gene1054/gene339/gene2178/gene2810/gene2481/gene639/gene1454/gene1452/gene2785/gene3246/gene3196/gene3885/gene107/gene641/gene3001/gene3714/gene992/gene1458/gene3174/gene106/gene1456/gene1907/gene2999/gene2457/gene994/gene760/gene105/gene3999/gene1441/gene103/gene1029/gene286/gene2456/gene879/gene778/gene993/gene434/gene736/gene3038/gene2674/gene16/gene988/gene3254/gene1383"	78
"ko03010"	"Ribosome"	"23/317"	"60/1233"	0.0187491427742787	0.208924434662243	0.19059772986731	"gene3228/gene3223/gene3224/gene3230/gene3182/gene2028/gene3190/gene3201/gene1814/gene3202/gene3205/gene3187/gene1347/gene3217/gene3227/gene3204/gene3832/gene3191/gene1907/gene3214/gene3198/gene3207/gene3212"	23
"ko01120"	"Microbial metabolism in diverse environments"	"57/317"	"176/1233"	0.0194996139018094	0.208924434662243	0.19059772986731	"gene1081/gene102/gene108/gene2792/gene209/gene3992/gene441/gene19/gene1036/gene3929/gene1046/gene3469/gene758/gene439/gene1055/gene1409/gene1408/gene2719/gene759/gene1027/gene2958/gene4014/gene614/gene1404/gene3733/gene2455/gene117/gene438/gene1436/gene2795/gene1054/gene3683/gene3631/gene3885/gene118/gene3993/gene107/gene440/gene3174/gene106/gene770/gene2523/gene111/gene283/gene760/gene105/gene1441/gene103/gene879/gene112/gene778/gene282/gene412/gene3038/gene2674/gene1259/gene1402"	57
"ko00910"	"Nitrogen metabolism"	"8/317"	"16/1233"	0.0309715153284183	0.283079547770602	0.258248008492479	"gene102/gene20/gene2719/gene2546/gene3527/gene283/gene282/gene789"	8
"ko00250"	"Alanine, aspartate and glutamate metabolism"	"13/317"	"31/1233"	0.0339695457324722	0.283079547770602	0.258248008492479	"gene1080/gene1081/gene179/gene3703/gene20/gene1453/gene2719/gene1879/gene1877/gene1454/gene1029/gene789/gene412"	13
"ko00710"	"Carbon fixation in photosynthetic organisms"	"8/317"	"17/1233"	0.0457597726320233	0.343198294740175	0.313093181166475	"gene758/gene1409/gene759/gene1404/gene760/gene879/gene778/gene3038"	8
"ko00730"	"Thiamine metabolism"	"9/317"	"21/1233"	0.0640813130003394	0.403196430185899	0.367828322274855	"gene3006/gene3005/gene3007/gene3008/gene3388/gene1417/gene3098/gene3196/gene3057"	9
"ko00630"	"Glyoxylate and dicarboxylate metabolism"	"8/317"	"18/1233"	0.0645114288297439	0.403196430185899	0.367828322274855	"gene441/gene3929/gene2560/gene2719/gene1027/gene2958/gene438/gene3174"	8
"ko00230"	"Purine metabolism"	"24/317"	"72/1233"	0.0851517565715607	0.468172701451802	0.427104920622697	"gene1715/gene1457/gene3703/gene1281/gene1453/gene1455/gene1879/gene614/gene117/gene2336/gene1454/gene1452/gene2785/gene3196/gene118/gene699/gene3597/gene1458/gene1456/gene111/gene3373/gene1104/gene3374/gene340"	24
"ko02026"	"Biofilm formation - Escherichia coli"	"8/317"	"19/1233"	0.0873922376043364	0.468172701451802	0.427104920622697	"gene3933/gene2300/gene2298/gene2299/gene1285/gene618/gene1415/gene3526"	8
"ko01130"	"Biosynthesis of antibiotics"	"55/317"	"188/1233"	0.132316278125701	0.661581390628506	0.603547935310216	"gene1081/gene3115/gene3862/gene179/gene1715/gene1457/gene3351/gene209/gene1294/gene19/gene3929/gene2227/gene758/gene1453/gene2560/gene911/gene1409/gene1408/gene1455/gene1879/gene759/gene1027/gene2958/gene1877/gene2455/gene117/gene360/gene1054/gene3677/gene1454/gene1452/gene3246/gene3196/gene3885/gene118/gene3714/gene1458/gene3174/gene1456/gene2523/gene1907/gene2570/gene2457/gene2411/gene111/gene760/gene1029/gene2456/gene879/gene778/gene434/gene3973/gene3038/gene2674/gene3254"	55
"ko02020"	"Two-component system"	"33/317"	"111/1233"	0.182718454333502	0.85649275468829	0.78136181129458	"gene1081/gene3933/gene956/gene2351/gene2350/gene1472/gene3394/gene3929/gene3610/gene2499/gene1942/gene2847/gene1661/gene2719/gene2498/gene1830/gene2958/gene3530/gene4014/gene346/gene1614/gene710/gene1760/gene1694/gene2481/gene3383/gene1917/gene3792/gene3611/gene2264/gene3600/gene276/gene1584"	33
"ko00030"	"Pentose phosphate pathway"	"11/317"	"33/1233"	0.204838520319802	0.874908918391106	0.798162522041009	"gene209/gene441/gene439/gene1409/gene1408/gene1404/gene438/gene440/gene879/gene778/gene3038"	11
"ko04122"	"Sulfur relay system"	"4/317"	"10/1233"	0.240259332913725	0.874908918391106	0.798162522041009	"gene3008/gene3009/gene3388/gene3057"	4
"ko00010"	"Glycolysis / Gluconeogenesis"	"14/317"	"45/1233"	0.246703535470526	0.874908918391106	0.798162522041009	"gene758/gene759/gene3683/gene3885/gene1470/gene2523/gene618/gene760/gene1415/gene429/gene3526/gene879/gene2674/gene579"	14
"ko00520"	"Amino sugar and nucleotide sugar metabolism"	"18/317"	"60/1233"	0.260674104357848	0.874908918391106	0.798162522041009	"gene179/gene207/gene209/gene2298/gene2227/gene2299/gene2920/gene3407/gene2320/gene618/gene1415/gene2947/gene469/gene3526/gene2674/gene579/gene2240/gene1522"	18
"ko01230"	"Biosynthesis of amino acids"	"38/317"	"135/1233"	0.277195856371499	0.874908918391106	0.798162522041009	"gene3115/gene3351/gene990/gene1294/gene441/gene19/gene758/gene1055/gene1409/gene1408/gene2719/gene759/gene1027/gene1877/gene2455/gene360/gene1054/gene2178/gene2810/gene3246/gene2516/gene440/gene3714/gene992/gene1907/gene2457/gene994/gene760/gene1029/gene286/gene2456/gene879/gene778/gene993/gene434/gene3038/gene988/gene3254"	38
"ko00920"	"Sulfur metabolism"	"7/317"	"21/1233"	0.280659918513648	0.874908918391106	0.798162522041009	"gene102/gene117/gene118/gene111/gene112/gene434/gene1259"	7
"ko01212"	"Fatty acid metabolism"	"7/317"	"21/1233"	0.280659918513648	0.874908918391106	0.798162522041009	"gene3929/gene2958/gene3678/gene2795/gene3677/gene3985/gene866"	7
"ko00020"	"Citrate cycle (TCA cycle)"	"4/317"	"11/1233"	0.305917649918844	0.874908918391106	0.798162522041009	"gene1081/gene1027/gene3174/gene2523"	4
"ko00360"	"Phenylalanine metabolism"	"4/317"	"11/1233"	0.305917649918844	0.874908918391106	0.798162522041009	"gene3115/gene2792/gene3469/gene1877"	4
"ko01503"	"Cationic antimicrobial peptide (CAMP) resistance"	"4/317"	"11/1233"	0.305917649918844	0.874908918391106	0.798162522041009	"gene1472/gene2690/gene2498/gene2566"	4
