"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko00860"	"Porphyrin and chlorophyll metabolism"	"15/214"	"33/1233"	0.000134101540513579	0.00965531091697771	0.0086107304961351	"gene1435/gene108/gene1445/gene1430/gene1436/gene1434/gene1443/gene107/gene1433/gene106/gene105/gene1441/gene103/gene1438/gene1437"	15
"ko00340"	"Histidine metabolism"	"7/214"	"11/1233"	0.000762550102578684	0.0180640676470318	0.0161097679308324	"gene3115/gene990/gene2810/gene992/gene994/gene993/gene988"	7
"ko01110"	"Biosynthesis of secondary metabolites"	"61/214"	"249/1233"	0.000837090520571527	0.0180640676470318	0.0161097679308324	"gene3115/gene638/gene1715/gene1457/gene108/gene990/gene640/gene3929/gene2300/gene2298/gene3717/gene758/gene2299/gene1453/gene1409/gene1408/gene1455/gene1879/gene759/gene1494/gene2958/gene360/gene2795/gene339/gene2810/gene2481/gene639/gene1454/gene1452/gene2785/gene3246/gene3196/gene3885/gene107/gene641/gene3001/gene3714/gene992/gene1458/gene3174/gene106/gene1456/gene2999/gene2457/gene994/gene760/gene105/gene1441/gene103/gene1029/gene286/gene2456/gene879/gene778/gene993/gene434/gene3038/gene2674/gene16/gene988/gene1383"	61
"ko01120"	"Microbial metabolism in diverse environments"	"46/214"	"176/1233"	0.00100355931372399	0.0180640676470318	0.0161097679308324	"gene102/gene108/gene2792/gene3992/gene441/gene19/gene1036/gene3929/gene3469/gene758/gene439/gene1409/gene1408/gene2719/gene759/gene2958/gene614/gene1404/gene3733/gene117/gene438/gene1436/gene2795/gene3683/gene3885/gene118/gene3993/gene107/gene440/gene3174/gene106/gene770/gene111/gene283/gene760/gene105/gene1441/gene103/gene879/gene112/gene778/gene282/gene3038/gene2674/gene1259/gene1402"	46
"ko03010"	"Ribosome"	"19/214"	"60/1233"	0.00400739567941731	0.0506570711433308	0.0451766277740231	"gene3228/gene3223/gene3230/gene2028/gene3190/gene3201/gene1814/gene3202/gene3205/gene3187/gene1347/gene3217/gene3227/gene3204/gene3832/gene3191/gene3214/gene3198/gene3207"	19
"ko00710"	"Carbon fixation in photosynthetic organisms"	"8/214"	"17/1233"	0.00422142259527757	0.0506570711433308	0.0451766277740231	"gene758/gene1409/gene759/gene1404/gene760/gene879/gene778/gene3038"	8
"ko00730"	"Thiamine metabolism"	"9/214"	"21/1233"	0.00521023475921609	0.0535909860947941	0.0477931308740123	"gene3006/gene3005/gene3007/gene3008/gene3388/gene1417/gene3098/gene3196/gene3057"	9
"ko00910"	"Nitrogen metabolism"	"7/214"	"16/1233"	0.0120289815637323	0.108260834073591	0.0965484046562725	"gene102/gene20/gene2719/gene3527/gene283/gene282/gene789"	7
"ko00220"	"Arginine biosynthesis"	"7/214"	"17/1233"	0.0174942728416506	0.139954182733205	0.124812940741601	"gene20/gene2719/gene360/gene2457/gene1029/gene2456/gene789"	7
"ko00030"	"Pentose phosphate pathway"	"10/214"	"33/1233"	0.0460262937647308	0.310504420548658	0.276911837039008	"gene441/gene439/gene1409/gene1408/gene1404/gene438/gene440/gene879/gene778/gene3038"	10
"ko00650"	"Butanoate metabolism"	"9/214"	"29/1233"	0.0496752960036361	0.310504420548658	0.276911837039008	"gene2792/gene1036/gene3929/gene1950/gene2958/gene2795/gene3885/gene2796/gene1719"	9
