"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko01120"	"Microbial metabolism in diverse environments"	"18/46"	"176/1233"	1.94566105034747e-05	0.000953373914670261	0.000839706348044698	"gene3992/gene1027/gene4015/gene4013/gene26/gene1868/gene3993/gene761/gene3767/gene1081/gene4014/gene2524/gene1409/gene762/gene760/gene718/gene2513/gene3733"	18
"ko00650"	"Butanoate metabolism"	"5/46"	"29/1233"	0.00351553313496127	0.0796684807290018	0.0701698756152326	"gene4015/gene4013/gene1081/gene4014/gene2524"	5
"ko00010"	"Glycolysis / Gluconeogenesis"	"6/46"	"45/1233"	0.00523408772452238	0.0796684807290018	0.0701698756152326	"gene4013/gene761/gene3767/gene2524/gene762/gene760"	6
"ko00020"	"Citrate cycle (TCA cycle)"	"3/46"	"11/1233"	0.00650354944726546	0.0796684807290018	0.0701698756152326	"gene1027/gene1081/gene2524"	3
"ko01200"	"Carbon metabolism"	"8/46"	"87/1233"	0.0125780544629777	0.123264933737182	0.108568470101492	"gene1027/gene761/gene3767/gene1081/gene2524/gene1409/gene762/gene760"	8
"ko01110"	"Biosynthesis of secondary metabolites"	"15/46"	"249/1233"	0.0302756111230807	0.216823941572975	0.190972751976197	"gene1027/gene4013/gene2300/gene26/gene1868/gene1774/gene761/gene2299/gene1081/gene2298/gene1409/gene762/gene760/gene1494/gene2481"	15
"ko02026"	"Biofilm formation - Escherichia coli"	"3/46"	"19/1233"	0.0309748487961393	0.216823941572975	0.190972751976197	"gene2300/gene2299/gene2298"	3
"ko00640"	"Propanoate metabolism"	"3/46"	"21/1233"	0.0403599457209048	0.247204667540542	0.217731286125934	"gene4015/gene4014/gene4016"	3
"ko00261"	"Monobactam biosynthesis"	"2/46"	"10/1233"	0.0506473840766091	0.253138644421439	0.222957774893211	"gene26/gene1868"	2
"ko01230"	"Biosynthesis of amino acids"	"9/46"	"135/1233"	0.0555965326050729	0.253138644421439	0.222957774893211	"gene1027/gene26/gene1868/gene1774/gene761/gene1409/gene762/gene2516/gene760"	9
"ko00300"	"Lysine biosynthesis"	"3/46"	"24/1233"	0.0568270426252209	0.253138644421439	0.222957774893211	"gene26/gene1868/gene1774"	3
"ko01130"	"Biosynthesis of antibiotics"	"11/46"	"188/1233"	0.0778601838251424	0.317929083952665	0.280023468143056	"gene1027/gene4013/gene26/gene1868/gene1774/gene761/gene1081/gene2524/gene1409/gene762/gene760"	11
