# Program:featureCounts v1.6.2; Command:"/home/lzc/soft/subread-1.6.2-source/bin/featureCounts" "-t" "exon" "-g" "gene_id" "-s" "1" "-a" "./genome/GCF_000191905.1_ASM19190v1_genomic.gtf" "-o" "/home/lzc/project/117_ZK005/results/3.Expression/genes_count.txt" "/home/lzc/project/117_ZK005/mapping/bam/824_24h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_24h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_24h_3.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_6h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_6h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_6h_3.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_3.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/lzc/project/117_ZK005/mapping/bam/824_24h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_24h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_24h_3.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_6h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_6h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_6h_3.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_3.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_3.sorted.bam
gene0	NC_017295.1	467	1807	+	1341	94	150	142	2467	2207	5785	2810	2534	2952	4088	2433	2249
gene1	NC_017295.1	2064	3164	+	1101	51	57	76	337	329	846	695	572	571	577	370	287
gene2	NC_017295.1	3195	3401	+	207	0	1	0	1	5	8	2	4	2	1	2	2
gene3	NC_017295.1	3447	4538	+	1092	35	43	40	319	183	494	241	156	166	452	211	210
gene4	NC_017295.1	4558	4821	+	264	26	23	21	186	152	382	184	152	132	223	141	139
gene5	NC_017295.1	4844	6757	+	1914	103	164	132	782	380	901	623	548	461	537	356	242
gene6	NC_017295.1	6783	9275	+	2493	683	1004	944	1344	1235	3503	1882	1468	1334	2516	1626	1035
gene7	NC_017295.1	9709	11220	+	1512	5774	5880	4029	10625	2145	4260	5447	4501	5083	6891	2458	2343
gene8	NC_017295.1	11395	14304	+	2910	61339	56782	45638	87090	40003	69950	37351	32262	36128	83273	31945	33847
gene9	NC_017295.1	14377	14493	+	117	18	26	9	760	775	1587	75	67	61	1111	372	823
gene10	NC_017295.1	14497	14573	+	77	0	0	0	0	0	0	0	0	0	1	0	1
gene11	NC_017295.1	14575	14650	+	76	2	1	1	16	8	13	4	3	2	24	4	5
gene12	NC_017295.1	14735	15211	+	477	0	0	0	17	6	6	0	2	2	4	2	3
gene13	NC_017295.1	15285	15800	+	516	4	1	4	31	19	29	3	1	7	10	7	4
gene14	NC_017295.1	15826	18546	+	2721	249	297	230	1001	550	1028	551	481	600	845	527	469
gene15	NC_017295.1	18653	19513	+	861	0	2	0	97	21	21	1	0	2	3	1	2
gene16	NC_017295.1	19543	20946	+	1404	9	18	16	290	79	147	19	10	11	45	26	27
gene17	NC_017295.1	20956	21186	+	231	87	70	59	47	35	78	103	48	95	76	40	33
gene18	NC_017295.1	21619	22689	+	1071	51	76	52	1231	1950	4441	659	285	725	2473	2696	993
gene19	NC_017295.1	22715	23632	+	918	142	148	127	2888	3394	6327	786	389	875	3182	3454	1582
gene20	NC_017295.1	23709	24953	+	1245	38	58	42	11745	6639	8473	2099	1199	2929	13314	7534	4397
gene21	NC_017295.1	24976	26253	+	1278	16	41	36	621	774	1785	459	157	404	549	642	358
gene22	NC_017295.1	26363	26965	+	603	24	25	21	164	105	207	255	214	245	201	165	69
gene23	NC_017295.1	27017	27622	-	606	24	37	23	260	157	245	240	174	255	207	176	87
gene24	NC_017295.1	27787	30426	+	2640	12	8	10	502	179	285	43	34	48	165	163	93
gene25	NC_017295.1	30670	31944	+	1275	112	161	79	461	261	745	662	722	587	542	300	223
gene26	NC_017295.1	32013	33095	-	1083	676	609	406	564	530	1270	1551	1380	1900	1749	1432	676
gene27	NC_017295.1	33214	34113	+	900	42	49	35	124	43	96	162	133	151	56	38	38
gene28	NC_017295.1	34251	34341	+	91	12	6	5	117	117	363	113	68	94	381	177	137
gene29	NC_017295.1	34374	34464	+	91	7	15	8	57	75	311	97	78	123	134	94	79
gene30	NC_017295.1	34540	35910	+	1371	112	195	141	1116	1384	5416	2527	2683	2520	3564	1814	1777
